## OBSID  START_UTC             STOP_UTC              EXPOSURE   ROLL  FP_TEMP DATE_PROCESSED      ASCDSVER  CALDBVER DETNAM      GRATING READMODE DATAMODE OBJECT

 1 2951   2002-02-19T14:43:22.6 2002-02-19T18:12:15.9   12369.54  91.5 -119.7  2012-10-02T15:12:38 8.4.5     4.5.2    ACIS-01236  NONE    TIMED    FAINT    SgrA*
 2 2952   2002-03-23T12:42:55.5 2002-03-23T16:03:08.0   11855.55  88.2 -119.6  2012-10-04T12:17:34 8.4.5     4.5.2    ACIS-01236  NONE    TIMED    FAINT    SgrA*
 3 2953   2002-04-19T10:59:50.9 2002-04-19T14:15:33.7   11589.37  85.2 -119.6  2012-11-29T15:35:27 8.4.5     4.5.2    ACIS-01236  NONE    TIMED    FAINT    SgrA*
 4 2954   2002-05-07T09:39:15.4 2002-05-07T13:09:32.4   12452.15  82.1 -119.6  2012-10-07T09:31:21 8.4.5     4.5.2    ACIS-01236  NONE    TIMED    FAINT    SgrA*
 5 2943   2002-05-22T23:20:42.6 2002-05-23T09:56:59.1   37677.70  75.5 -119.6  2012-11-29T17:22:22 8.4.5     4.5.2    ACIS-01236  NONE    TIMED    FAINT    SgrA*
 6 3663   2002-05-24T12:12:01.3 2002-05-24T22:53:05.3   37958.30  75.5 -119.6  2012-10-08T09:07:25 8.4.5     4.5.2    ACIS-01236  NONE    TIMED    FAINT    SgrA*
 7 3392   2002-05-25T15:34:26.7 2002-05-27T14:29:28.9  166689.19  75.5 -119.6  2012-10-08T20:24:26 8.4.5     4.5.2    ACIS-01236  NONE    TIMED    FAINT    SgrA*
 8 3393   2002-05-28T05:53:06.6 2002-05-30T02:21:47.4  158025.56  75.5 -119.6  2012-10-09T20:35:17 8.4.5     4.5.2    ACIS-01236  NONE    TIMED    FAINT    SgrA*
 9 3665   2002-06-03T01:41:29.2 2002-06-04T03:00:07.5   89924.67  75.5 -119.6  2012-10-09T08:52:44 8.4.5     4.5.2    ACIS-01236  NONE    TIMED    FAINT    SgrA*
10 3549   2003-06-19T18:46:37.4 2003-06-20T01:45:13.6   24788.04 346.8 -119.6  2012-10-29T19:15:59 8.4.5     4.5.2    ACIS-01236  NONE    TIMED    FAINT    SgrA*
11 4683   2004-07-05T22:47:16.4 2004-07-06T12:43:36.1   49524.07 286.2 -119.4  2012-12-03T23:02:40 8.4.5     4.5.2    ACIS-01236  NONE    TIMED    FAINT    SgrA*
12 4684   2004-07-06T22:43:47.0 2004-07-07T12:40:09.8   49527.12 285.4 -119.6  2012-12-03T23:26:40 8.4.5     4.5.2    ACIS-01236  NONE    TIMED    FAINT    SgrA*
13 5360   2004-08-28T12:19:58.6 2004-08-28T13:46:12.5    5106.30 271.0 -119.6  2012-12-08T07:53:56 8.5       4.5.4    ACIS-01236  NONE    TIMED    FAINT    CXOGCJ174540.0-290030
14 6113   2005-02-27T06:52:55.3 2005-02-27T08:14:55.0    4855.42  90.6 -119.2  2012-12-17T20:09:35 8.5.1     4.5.5    ACIS-01236  NONE    TIMED    FAINT    SgrA*
15 5950   2005-07-24T20:13:40.9 2005-07-25T09:53:16.2   48532.79 276.7 -119.4  2012-12-26T17:19:59 8.5.1.1   4.5.5    ACIS-01236  NONE    TIMED    FAINT    SgrA*
16 5951   2005-07-27T19:32:01.4 2005-07-28T08:05:00.8   44586.00 276.0 -119.4  2012-12-26T18:37:22 8.5.1.1   4.5.5    ACIS-01236  NONE    TIMED    FAINT    SgrA*
17 5952   2005-07-29T20:08:00.7 2005-07-30T08:53:30.0   45326.08 275.5 -119.4  2015-07-23T16:59:06 10.4.1    4.6.8    ACIS-01236  NONE    TIMED    FAINT    SgrA*
18 5953   2005-07-30T20:09:07.9 2005-07-31T08:55:08.5   45360.09 275.3 -119.6  2012-12-26T19:02:50 8.5.1.1   4.5.5    ACIS-01236  NONE    TIMED    FAINT    SgrA*
19 5954   2005-08-01T20:16:37.7 2005-08-02T01:18:06.2   17852.16 274.9 -119.2  2013-03-07T09:23:26 8.5.1.1   4.5.6    ACIS-01236  NONE    TIMED    FAINT    SgrA*
20 6639   2006-04-11T05:48:19.1 2006-04-11T07:04:08.9    4490.35  86.2 -119.6  2012-03-30T04:59:53 8.4.3.1   4.4.8    ACIS-01236  NONE    TIMED    FAINT    SgrA*
21 6640   2006-05-03T22:42:44.9 2006-05-04T00:08:49.5    5097.12  82.8 -119.4  2012-03-31T11:33:23 8.4.3     4.4.8    ACIS-01236  NONE    TIMED    FAINT    SgrA*
22 6641   2006-06-01T16:24:56.7 2006-06-01T17:50:24.0    5060.41  69.7 -119.6  2012-04-02T19:37:23 8.4.3.1   4.4.9    ACIS-01236  NONE    TIMED    FAINT    SgrA*
