## OBSID  START_UTC             STOP_UTC              EXPOSURE   ROLL  FP_TEMP DATE_PROCESSED      ASCDSVER  CALDBVER DETNAM      GRATING READMODE DATAMODE OBJECT

 1 14702  2013-05-12T11:00:55.9 2013-05-12T15:12:06.3   13668.05  80.7 -118.6  2014-12-03T04:16:22 10.3      4.6.4    ACIS-7      NONE    TIMED    FAINT    NEWMAGNETAR
 2 14703  2013-06-04T09:02:44.9 2013-06-04T14:12:12.9   16840.19  80.7 -119.7  2014-12-03T12:27:40 10.3      4.6.4    ACIS-7      NONE    TIMED    FAINT    NEWMAGNETAR
 3 14946  2013-07-02T07:08:02.6 2013-07-02T12:42:32.4   18202.29 290.9 -119.7  2014-12-04T01:04:45 10.3      4.6.4    ACIS-7      NONE    TIMED    FAINT    SgrA*
 4 15041  2013-07-27T01:41:24.8 2013-07-27T15:35:54.4   45410.48 276.1 -119.6  2014-12-04T22:04:36 10.3      4.6.4    ACIS-7      NONE    TIMED    FAINT    SgrA
 5 15042  2013-08-11T23:12:57.2 2013-08-12T12:56:41.2   45675.00 253.7 -119.4  2014-12-06T03:36:05 10.3.1    4.6.4    ACIS-7      NONE    TIMED    FAINT    SgrA
 6 14945  2013-08-31T10:40:29.9 2013-08-31T16:14:59.0   18201.70 283.2 -119.7  2014-12-06T08:03:00 10.3.1    4.6.4    ACIS-7      NONE    TIMED    FAINT    SgrA*
 7 15043  2013-09-14T00:21:05.6 2013-09-14T14:15:34.8   45410.12 269.3 -119.7  2014-12-06T15:57:47 10.3.1    4.6.4    ACIS-7      NONE    TIMED    FAINT    SgrA
 8 14944  2013-09-20T07:19:00.9 2013-09-20T12:53:31.3   18202.79 284.2 -119.7  2014-12-06T22:20:56 10.3.1    4.6.4    ACIS-7      NONE    TIMED    FAINT    SgrA*
 9 15044  2013-10-04T17:42:19.0 2013-10-05T06:46:47.6   42688.81 280.2 -119.9  2014-12-07T00:06:34 10.3.1    4.6.4    ACIS-7      NONE    TIMED    FAINT    SgrA
10 14943  2013-10-17T16:03:37.8 2013-10-17T21:38:07.4   18202.07 277.2 -118.3  2014-12-09T04:42:36 10.3.1    4.6.4    ACIS-7      NONE    TIMED    FAINT    SgrA*
11 14704  2013-10-23T09:21:38.8 2013-10-23T20:29:28.4   36341.01 274.2 -119.9  2014-12-09T05:32:37 10.3.1    4.6.4    ACIS-7      NONE    TIMED    FAINT    NEWMAGNETAR
12 15045  2013-10-28T14:50:29.9 2013-10-29T04:44:59.1   45410.12 271.2 -119.9  2014-12-09T04:59:29 10.3.1    4.6.4    ACIS-7      NONE    TIMED    FAINT    SgrA
13 16508  2014-02-21T11:52:43.5 2014-02-22T01:10:32.7   43414.84 100.2 -119.7  2014-12-10T09:29:53 10.3.1    4.6.4    ACIS-7      NONE    TIMED    FAINT    SgrA
14 16211  2014-03-14T10:40:27.3 2014-03-14T23:28:17.7   41783.39  90.2 -119.7  2014-12-10T22:35:30 10.3.1    4.6.4    ACIS-7      NONE    TIMED    FAINT    SgrA*
