Distance between B and E
------------------------------------------------

STATISTICS

Linear fit parameters: [-1.14134911e-06  1.12866698e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 5.09356038e-09 -3.73561201e-03]
 [-3.73561201e-03  2.73971686e+03]]
rms error in linear fit: 2.282116172239591

Null fit parameter: [112.02963404]
Null covariance matrix: 
[[0.02117484]]
rms error in null fit: 2.2805255805163394

chi-squared test statistic: 0.046487441716174076

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   111.05224354124185    0.8687104298410677
1 2002-05-25    3392   112.19324447948173    0.4504433628476246
2 2002-05-28    3393   112.55143180710988    0.4177363568538232
3 2002-06-03    3665   110.60153441934082    0.6508822865351671
4 2004-07-06    4684   112.61211634330272    0.7538185828499246
5 2005-07-29    5952   112.5726675528647    0.7063182144992822
6 2005-07-30    5953   111.86498594453403    0.6511758993319551
7 2009-05-18    10556   111.32837000860101    0.49015548564306527
8 2010-05-13    11843   112.80020187951321    0.5844841612446725
9 2013-08-11    15042   111.85512324279938    0.4884793847236335
10 2013-10-28    15045   112.23810861298176    0.6883481849853877
11 2014-08-02    16216   112.2612497353515    0.8096844818307828
12 2016-07-18    18732   111.99269687301262    0.46980704391137335
13 2017-07-15    19703   112.09778282876181    0.5956803794125449
14 2017-07-25    19704   111.86654279682445    0.7644500786874192
