Distance between C and A
------------------------------------------------

STATISTICS

Linear fit parameters: [ 1.29951913e-04 -4.34287126e+01]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 3.77635936e-09 -2.76905754e-03]
 [-2.76905754e-03  2.03046035e+03]]
rms error in linear fit: 4.279897715372928

Null fit parameter: [51.85997497]
Null covariance matrix: 
[[0.02041006]]
rms error in null fit: 4.566782140910379

chi-squared test statistic: 0.35193370657852086

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-03-23    2952   51.24131362703877    0.429217738621954
1 2002-05-25    3392   51.74493102986103    0.3919532905343669
2 2002-05-28    3393   51.74680422555751    0.40101492327489746
3 2002-05-24    3663   51.422414971105205    0.6637189798315816
4 2002-06-03    3665   52.03932696322045    0.5278926442167259
5 2005-07-24    5950   52.04271919274118    0.6033800465149819
6 2005-07-29    5952   51.01047733735401    0.5576869551946874
7 2005-07-30    5953   51.07802408871419    0.609386608687961
8 2008-05-05    9169   53.254200572217016    1.0298393203908243
9 2008-05-06    9170   52.54700217913786    0.9728131745716669
10 2008-05-11    9172   50.763108201891335    0.8055438736271892
11 2009-05-18    10556   51.667721542459965    0.43450263883426066
12 2010-05-13    11843   53.68778180650827    0.7259114146908409
13 2011-03-31    13017   52.15667051458254    1.0391493595852013
14 2013-10-23    14704   52.3708971596006    1.0200314680799172
15 2013-04-06    14941   52.235790876502314    0.8438050349266556
16 2014-04-28    16213   52.04398649814557    0.9171189972749758
17 2014-10-20    16218   50.858091239706695    0.8366238158794768
18 2015-02-13    16963   50.37605521247723    0.7951966046336204
19 2015-08-17    16965   51.04899212936675    0.8086839300106838
20 2016-07-18    18732   53.21950006001004    0.5768173886861032
21 2017-07-15    19703   52.799440458298    0.5444612777387661
22 2017-07-25    19704   51.58653432203812    0.6582644493557925
23 2017-04-06    19726   53.60271673925975    1.2775126974773698
24 2017-04-07    19727   52.28889293656493    0.9006854463541019
25 2017-04-11    20041   52.571618144103525    0.9442145258805195
26 2018-04-20    20344   52.15985673096139    1.0585907399237025
27 2018-04-24    20346   52.78136775423211    1.0039731609632512
