Distance between C and B
------------------------------------------------

STATISTICS

Linear fit parameters: [-3.64847187e-05  3.55452747e+01]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 3.50936602e-09 -2.57341870e-03]
 [-2.57341870e-03  1.88710429e+03]]
rms error in linear fit: 2.1192584150309797

Null fit parameter: [8.79102423]
Null covariance matrix: 
[[0.01525808]]
rms error in null fit: 2.1602380449804297

chi-squared test statistic: 0.5142642929048088

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   8.756857534898232    0.7764312052319557
1 2002-05-25    3392   8.552247469145632    0.4165144033603827
2 2002-05-28    3393   9.162764052594412    0.4270112015926369
3 2002-06-03    3665   8.429495865253683    0.5167939442454467
4 2004-07-06    4684   9.332229303900132    0.727307609070451
5 2005-07-29    5952   9.012052901773528    0.5200156189740612
6 2005-07-30    5953   9.023148519274894    0.5913050895608961
7 2009-05-18    10556   8.521167552766682    0.4527978428545184
8 2010-05-13    11843   9.477327381611252    0.637655065458205
9 2013-09-20    14944   8.173466556880058    0.770667018133099
10 2013-08-11    15042   9.256186568737608    0.727104800864046
11 2013-10-28    15045   9.688872296355227    0.7283696817542673
12 2014-08-02    16216   8.26665017715957    0.6035524610139802
13 2016-07-18    18732   8.819257816444795    0.6163970471954336
14 2017-07-15    19703   8.969820116850862    0.4657241159903262
15 2017-07-25    19704   7.491615659009144    0.6453820143629473
