Distance between D and A
------------------------------------------------

STATISTICS

Linear fit parameters: [5.52788328e-05 3.87406022e+01]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.16528464e-08 -8.54672908e-03]
 [-8.54672908e-03  6.26862416e+03]]
rms error in linear fit: 4.505564145912414

Null fit parameter: [79.28461928]
Null covariance matrix: 
[[0.06029842]]
rms error in null fit: 4.539091105588733

chi-squared test statistic: 0.25588908643670333

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-25    3392   79.46918659581493    0.33351585635945136
1 2002-05-28    3393   79.60996224870944    0.3481744188234774
2 2002-06-03    3665   78.68394750619285    0.4760483929828432
3 2005-07-24    5950   80.66457139917748    0.5753766807411284
4 2005-07-29    5952   77.33985216129769    0.5900573784430799
5 2008-05-05    9169   77.68391935908483    0.6704818207779146
6 2009-05-18    10556   78.78202905276457    0.44188967088847825
7 2010-05-13    11843   79.76326185423781    0.7313194728292242
8 2013-10-23    14704   77.36948001396735    0.7051123478073484
9 2014-10-20    16218   78.88028518923183    0.7675014679760926
10 2016-10-08    18057   78.44791133132419    0.9260840945301682
11 2016-07-18    18732   81.70651511478626    0.5632997946278139
12 2017-07-15    19703   79.22006709959199    0.5100919671817848
13 2017-07-25    19704   79.7361778893587    0.5369863375870557
14 2017-04-06    19726   80.15910558196151    0.738843821493414
15 2017-04-07    19727   79.2340665311033    0.9694516006822705
16 2018-04-20    20344   79.27773901735279    0.5833760765808422
