Distance between E and A
------------------------------------------------

STATISTICS

Linear fit parameters: [1.51124206e-04 6.82818037e+00]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 5.24036012e-09 -3.84494083e-03]
 [-3.84494083e-03  2.82112506e+03]]
rms error in linear fit: 3.934483144321787

Null fit parameter: [117.71056164]
Null covariance matrix: 
[[0.03126637]]
rms error in null fit: 4.147228448426988

chi-squared test statistic: 0.13134537224956538

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-25    3392   117.23290975818263    0.31307385281893224
1 2002-05-28    3393   117.40010479914328    0.32729011204295894
2 2002-05-24    3663   117.82471377097677    0.7005909768772055
3 2002-06-03    3665   116.0578920542521    0.533175268462618
4 2005-07-24    5950   118.33698892566505    0.5639720057165164
5 2005-07-29    5952   116.93548726745067    0.5665428436040151
6 2005-07-30    5953   116.76944373234075    0.5735291653617081
7 2008-05-06    9170   118.51825874627943    0.9012756830188301
8 2009-05-18    10556   117.80209187771416    0.3155346009263543
9 2010-05-13    11843   119.34919795517969    0.5073039282532411
10 2014-04-28    16213   117.77135405838166    0.6170347182436347
11 2014-10-20    16218   117.1763751656723    0.4970888685962747
12 2015-08-17    16965   116.78012062529503    0.7836246649211933
13 2016-10-08    18057   117.55861413031445    0.7992169043969277
14 2016-07-18    18732   119.06101481856021    0.4076799710717772
15 2017-07-15    19703   117.73973349844022    0.42804929238843564
16 2017-07-25    19704   117.52831199730429    0.5796024739499578
17 2017-04-06    19726   118.30572939822515    0.7876370038272819
18 2017-04-07    19727   118.48058434103696    0.9463928616575346
19 2017-04-11    20041   119.72257254734237    0.7169002198030522
20 2018-04-20    20344   117.92585069831713    0.6250381464210267
21 2018-04-24    20346   116.80032001471336    0.6933058615488435
