Distance between E and C
------------------------------------------------

STATISTICS

Linear fit parameters: [-2.61490019e-05  1.32960041e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.36656121e-09 -1.00330335e-03]
 [-1.00330335e-03  7.36612790e+02]]
rms error in linear fit: 4.473355405211232

Null fit parameter: [113.76193889]
Null covariance matrix: 
[[0.00641755]]
rms error in null fit: 4.465303450229777

chi-squared test statistic: 0.17590907515467144

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   113.22081408973163    0.8335261674340533
1 2002-05-25    3392   113.7587495029025    0.3093733391150265
2 2002-05-28    3393   114.24775079497262    0.3732076658467039
3 2003-06-19    3549   114.47396038284462    0.8287078261506566
4 2002-05-24    3663   115.13199731414957    0.7545054247748628
5 2002-06-03    3665   112.92611313197537    0.5948539319859789
6 2004-07-05    4683   112.95987459091525    0.5992354283232157
7 2004-07-06    4684   113.88900387168762    0.4934051512223296
8 2005-07-24    5950   113.47614470337587    0.5227788128777571
9 2005-07-27    5951   114.32321427941197    0.6047637233259555
10 2005-07-29    5952   114.7660560332659    0.5480538137503161
11 2005-07-30    5953   113.75540373630471    0.4513430177766814
12 2008-05-06    9170   114.32877472720402    0.9559962746641125
13 2009-05-18    10556   112.948164855146    0.3918269568306193
14 2010-05-13    11843   114.64569516345435    0.6344361655084279
15 2011-03-29    13016   114.84018312484916    1.3214881392650681
16 2013-07-27    15041   113.07158098376674    0.6293525224457195
17 2013-08-11    15042   113.28861960718125    0.6245143973327184
18 2013-09-14    15043   113.71846846123549    0.5306586900757683
19 2013-10-04    15044   113.5139129994262    0.7103325274061592
20 2013-10-28    15045   113.17875786264484    0.7344937548458339
21 2014-06-03    16210   115.13839234748863    0.9453951913425306
22 2014-03-14    16211   112.85183360292531    0.8495134198734972
23 2014-04-04    16212   114.1075511609093    0.750411388270255
24 2014-04-28    16213   113.72076883890333    0.6884267771483289
25 2014-05-20    16214   113.69876305168634    0.8316626527429586
26 2014-07-16    16215   114.23367299003851    0.9887567606308113
27 2014-08-02    16216   114.63075289831924    0.7362134798281663
28 2014-08-30    16217   114.55745194411459    0.7497502318080871
29 2014-10-20    16218   113.2685529004788    0.4591422327868784
30 2014-02-21    16508   114.56489096319496    0.7289219303943759
31 2015-08-17    16965   113.18147575653691    0.5939108827163441
32 2016-10-14    18058   113.9382605390067    0.8378276422270412
33 2016-07-12    18731   113.75457578053924    0.36708225017535207
34 2016-07-18    18732   113.41610150326063    0.4020702547934923
35 2017-07-15    19703   113.66087126256375    0.5156717854789028
36 2017-07-25    19704   113.16987002281472    0.5992274471930873
37 2017-04-06    19726   112.3086002949722    1.060285842388908
38 2017-04-07    19727   114.36017464060009    0.8088048360197454
39 2017-04-12    20040   113.74412260236919    0.7696439368682867
40 2017-04-11    20041   113.91678359210016    0.8421257195647608
41 2018-04-20    20344   113.6516528426153    0.8196379170358611
42 2018-04-22    20345   113.42759178177788    0.859988977020891
43 2018-04-24    20346   114.17588360314922    0.7197210682402065
44 2018-04-25    20347   114.36898751590678    0.7873874805282233
45 2019-03-29    21453   114.5057010726314    0.952738229828532
46 2019-03-30    21454   114.20209231232691    0.7293890256660017
47 2019-03-31    21455   114.1165678961029    0.8956206119422605
48 2019-04-01    21456   113.68465481788553    0.7893034160126188
