Distance between G and E
------------------------------------------------

STATISTICS

Linear fit parameters: [-2.08276597e-05  6.40533434e+01]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 5.37705478e-09 -3.95601899e-03]
 [-3.95601899e-03  2.91054643e+03]]
rms error in linear fit: 2.3047949207552514

Null fit parameter: [48.72996998]
Null covariance matrix: 
[[0.01435541]]
rms error in null fit: 2.321515700156502

chi-squared test statistic: 0.1090234435591642

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2003-06-19    3549   48.66078687691092    0.5104023280559363
1 2005-07-24    5950   49.16918265473356    0.5740793525947528
2 2005-07-30    5953   48.05161957332218    0.5899036537880091
3 2013-05-12    14702   49.55703165823167    0.6325494498436907
4 2013-06-04    14703   49.04066738920346    0.32013065696100484
5 2013-07-02    14946   48.56853097002082    0.8241589270864439
6 2013-10-28    15045   48.61934045964932    0.5544542574276186
7 2017-07-15    19703   49.050621859125535    0.3362923980409899
8 2017-07-25    19704   48.0202703230667    0.38108361074966113
9 2017-04-06    19726   48.74940149685362    0.775551486113334
10 2017-04-07    19727   48.278543868393456    0.7771895608459336
11 2018-04-20    20344   48.923189972602174    0.5542077202134587
12 2018-04-22    20345   48.1335389880112    0.44538752575603774
13 2018-04-24    20346   49.33702987211363    0.3455230545063571
14 2018-04-25    20347   48.86597282009803    0.6870518424251129
15 2019-03-29    21453   48.855762435040525    0.6342297407443855
16 2019-03-30    21454   48.76587772336714    0.5726901225472146
17 2019-03-31    21455   47.94425614819379    0.6976114087152642
18 2019-04-01    21456   47.43092403153892    0.6994378871484827
