Distance between H and A
------------------------------------------------

STATISTICS

Linear fit parameters: [5.63625037e-05 1.42943550e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.28682371e-08 -9.43393866e-03]
 [-9.43393866e-03  6.91624945e+03]]
rms error in linear fit: 5.322764570651546

Null fit parameter: [184.26392637]
Null covariance matrix: 
[[0.05544859]]
rms error in null fit: 5.3352848999799

chi-squared test statistic: 0.15375766145845293

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-03-23    2952   182.9191378402261    0.5027572204204551
1 2002-05-25    3392   185.48041711201054    0.31738251147924984
2 2002-05-28    3393   183.36311694487125    0.3105079726705736
3 2002-05-24    3663   182.50315722863195    0.5662589691889764
4 2002-06-03    3665   185.7914891020347    0.39981897654454684
5 2005-07-24    5950   184.78050017630915    0.5710540323122674
6 2005-07-29    5952   183.60240552885682    0.538298952246943
7 2005-07-30    5953   184.6413613292494    0.5833885587885393
8 2006-10-29    6646   183.12268023274726    0.7833408615067112
9 2008-05-05    9169   182.140490541105    0.6254355659330592
10 2008-05-06    9170   183.17747941684237    0.7980814173368012
11 2008-05-11    9172   182.21291673070294    0.7221303841776475
12 2009-05-18    10556   184.63970707226744    0.29788949138598897
13 2013-10-23    14704   183.83545807901524    0.7584345701868539
14 2013-04-06    14941   183.22404541383548    0.6831208666461542
15 2014-04-28    16213   184.06160581404595    0.581446059231908
16 2014-10-20    16218   184.56956308564256    0.6306222694361242
17 2015-08-17    16965   184.58463625750028    0.8268273185841386
18 2016-07-18    18732   186.20580654810865    0.438459360423858
19 2017-07-25    19704   184.3656484626369    0.4820796044429949
20 2017-04-06    19726   184.3163249378876    0.7517374826992558
21 2018-04-20    20344   184.49952843786608    0.6279400600011144
22 2018-04-24    20346   183.0792114956007    0.7528135443811604
