Distance between H and D
------------------------------------------------

STATISTICS

Linear fit parameters: [-5.70415691e-05  1.50967863e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.37270349e-08 -1.00646180e-02]
 [-1.00646180e-02  7.37941545e+03]]
rms error in linear fit: 4.86045885612523

Null fit parameter: [109.1451674]
Null covariance matrix: 
[[0.06693978]]
rms error in null fit: 4.947926473813701

chi-squared test statistic: 0.21640710101409516

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   110.5236543219445    0.6681832386055468
1 2002-05-25    3392   109.84650712917323    0.24505403893473757
2 2002-05-28    3393   107.71742655624696    0.25008164952679407
3 2002-06-03    3665   111.06920779384888    0.3782321613650565
4 2004-07-06    4684   110.66989894942523    0.5532417615855864
5 2005-07-24    5950   107.87116736403111    0.4016166596792538
6 2005-07-27    5951   107.80926259230355    0.5341445095728378
7 2005-07-29    5952   110.34235062083748    0.49957282206425324
8 2008-05-05    9169   108.05746446807325    0.5695527594556687
9 2009-05-18    10556   110.14442892127347    0.4391036596188954
10 2013-10-23    14704   109.88980140327519    0.4000942807123344
11 2014-05-20    16214   110.2848944803563    0.5439755901364073
12 2014-08-02    16216   107.76172628301727    0.5540938653979844
13 2014-10-20    16218   110.0452449550799    0.5968081104984625
14 2015-05-14    16966   109.61609865593209    0.6824153262709428
15 2016-07-18    18732   108.20115669057282    0.45469768087240703
16 2017-07-25    19704   108.75295239656103    0.35986314731421504
17 2017-04-06    19726   108.10312966456813    0.5531139394819788
18 2017-04-12    20040   108.89473481429563    0.6232381591391496
19 2018-04-20    20344   109.0488673460429    0.5626805807880602
