Distance between H and E
------------------------------------------------

STATISTICS

Linear fit parameters: [-1.03658845e-04  1.52650836e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 6.49522996e-09 -4.76654604e-03]
 [-4.76654604e-03  3.49797731e+03]]
rms error in linear fit: 5.912081299020187

Null fit parameter: [76.58044831]
Null covariance matrix: 
[[0.03238481]]
rms error in null fit: 6.195598925678349

chi-squared test statistic: 0.4563955896132738

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   77.59509147683396    0.6782818786345952
1 2002-05-25    3392   77.67171873813302    0.24339472826505548
2 2002-05-28    3393   76.2107855635488    0.2470507764894433
3 2002-05-24    3663   75.26917455705109    0.5555214187331784
4 2002-06-03    3665   78.84912135315645    0.4534925423434806
5 2004-07-06    4684   77.77238351958812    0.3740955951452723
6 2005-07-24    5950   76.04933977465107    0.38718935315791997
7 2005-07-27    5951   74.54942763944791    0.3871057688978678
8 2005-07-29    5952   76.87591737583291    0.5036663030347857
9 2005-07-30    5953   77.49653872763649    0.3684627198830207
10 2008-05-06    9170   75.52939300676488    0.6700864740171917
11 2009-05-18    10556   76.53623878563187    0.2660949676329116
12 2011-03-29    13016   76.06255125642289    0.9645489023876995
13 2013-06-04    14703   76.02242550820422    0.468933053768559
14 2013-10-04    15044   75.51499616317288    0.44519682279270384
15 2014-06-03    16210   74.23567922686743    0.7180993070372509
16 2014-04-04    16212   76.11055438998106    0.42720538896591564
17 2014-04-28    16213   75.47883231045206    0.5187917083808343
18 2014-05-20    16214   77.41029756369869    0.5131755977014455
19 2014-08-02    16216   74.55137072129014    0.6374174013836209
20 2014-08-30    16217   75.34073502036189    0.564859858114107
21 2014-10-20    16218   77.5722772065416    0.3155089141298608
22 2015-08-17    16965   76.98643741413366    0.5452698005724865
23 2016-07-18    18732   77.00115122616278    0.258259109978685
24 2017-07-25    19704   75.99068479090472    0.4613716929775383
25 2017-04-06    19726   75.72061565465289    0.6551047484879378
26 2017-04-12    20040   76.64098413335475    0.4605458563410244
27 2018-04-20    20344   76.2454374505354    0.580529879918093
28 2018-04-22    20345   77.50280456543888    0.46422966844618335
29 2018-04-24    20346   76.14824513398126    0.36329168689909386
30 2018-04-25    20347   74.92359048368688    0.5505716336873868
