Distance between I and A
------------------------------------------------

STATISTICS

Linear fit parameters: [-1.70897457e-06  1.95801898e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 7.49955078e-09 -5.50037920e-03]
 [-5.50037920e-03  4.03417043e+03]]
rms error in linear fit: 4.293131226247587

Null fit parameter: [194.54848891]
Null covariance matrix: 
[[0.03722349]]
rms error in null fit: 4.294693036351834

chi-squared test statistic: 0.09473813859746917

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-25    3392   194.6319329277069    0.2837427128860689
1 2002-05-28    3393   194.10116591555388    0.2771317048533604
2 2002-05-24    3663   194.29283021142928    0.5817070428215182
3 2002-06-03    3665   195.00459082544526    0.3651645238120094
4 2005-07-24    5950   195.9664820210972    0.5460428501304698
5 2005-07-29    5952   192.98220429375095    0.47676563787970716
6 2005-07-30    5953   193.8672339078675    0.5312553966892755
7 2005-08-01    5954   193.46444126319798    0.6469904684828461
8 2009-05-18    10556   195.4451588168177    0.259721219927811
9 2011-03-31    13017   195.64686541827194    0.9167280177368594
10 2013-04-06    14941   195.19110761650842    0.7772075609715
11 2014-10-20    16218   194.51098424711054    0.4991705321152663
12 2016-10-08    18057   193.79138910975544    0.6906454909982027
13 2016-07-18    18732   194.61796688798685    0.4308508176951243
14 2017-07-15    19703   194.6606374096665    0.36216950919748575
15 2017-07-25    19704   192.93677134219283    0.45332957492911946
16 2017-04-06    19726   193.49728556352335    0.7201516070211298
17 2017-04-07    19727   192.9767646747071    0.7206144533563499
18 2017-04-11    20041   196.16190887412967    0.5035659958490283
19 2018-04-24    20346   194.8115414506057    0.641174209240499
