Distance between I and C
------------------------------------------------

STATISTICS

Linear fit parameters: [-2.08150448e-04  3.28292064e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 2.86675151e-09 -2.10367269e-03]
 [-2.10367269e-03  1.54372727e+03]]
rms error in linear fit: 5.1659454633484625

Null fit parameter: [175.54760389]
Null covariance matrix: 
[[0.02157805]]
rms error in null fit: 5.686039048556356

chi-squared test statistic: 0.15241509905435294

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   175.90377802225098    0.3947212335992926
1 2002-02-19    2951   175.6738212732895    0.48316193110241107
2 2002-05-25    3392   176.1662910298463    0.1688254039365781
3 2002-05-28    3393   175.66217548565172    0.20555093643870748
4 2003-06-19    3549   176.2414214733254    0.49235386151672533
5 2002-05-24    3663   176.5016032093721    0.4418410991773523
6 2002-06-03    3665   176.70858305570562    0.26206723904817875
7 2004-07-05    4683   175.30552794402857    0.32983885512681566
8 2004-07-06    4684   175.9779206666531    0.28214719521442544
9 2005-07-24    5950   176.30855165904705    0.334186852647779
10 2005-07-27    5951   176.94587418150533    0.3789192972833944
11 2005-07-29    5952   175.66910838777832    0.2596813767392536
12 2005-07-30    5953   175.9587205083581    0.24522841616048555
13 2007-10-26    7559   175.78151043394053    0.5252975521843835
14 2008-05-10    9171   175.9634728661192    0.5238225708396723
15 2008-07-26    9173   175.90852763500683    0.26979139632172544
16 2009-05-18    10556   175.71911387309953    0.2189103537280641
17 2011-03-31    13017   174.8680457947382    0.4951257640015089
18 2013-04-06    14941   175.65429668386528    0.7831517884998556
19 2013-09-14    15043   175.91531924897907    0.23124464839214584
20 2014-10-20    16218   175.53058447146432    0.23151969311874462
21 2016-07-12    18731   174.32919275853723    0.17821253880537263
22 2016-07-18    18732   173.46307380474326    0.27222178316157447
23 2017-07-15    19703   175.36366573158224    0.27505902803070936
24 2017-07-25    19704   174.09525392719797    0.26837295666862265
25 2017-04-06    19726   172.13055623344238    0.6481999771499232
26 2017-04-07    19727   173.85381487581918    0.3529646630658535
27 2017-04-12    20040   175.3870585126683    0.5074060164899796
28 2017-04-11    20041   175.2478261549601    0.37004404367406024
29 2018-04-22    20345   175.743093280612    0.5590970127794472
30 2018-04-24    20346   176.61416628856668    0.41751981240664343
31 2018-04-25    20347   176.40039845190236    0.36077744237351306
32 2019-03-29    21453   175.5742543750908    0.3869647325211998
33 2019-03-30    21454   176.28230717836513    0.4124268957247296
34 2019-03-31    21455   175.6815608761086    0.43555913566015614
