Distance between I and D
------------------------------------------------

STATISTICS

Linear fit parameters: [-1.09567310e-04  1.97831082e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 8.97017169e-09 -6.57789621e-03]
 [-6.57789621e-03  4.82367396e+03]]
rms error in linear fit: 4.88188036455065

Null fit parameter: [117.48452753]
Null covariance matrix: 
[[0.05273132]]
rms error in null fit: 5.189441988675816

chi-squared test statistic: 0.20320993130134257

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   117.98379618909337    0.6351254253913744
1 2002-05-25    3392   117.48117219275252    0.21412445128784366
2 2002-05-28    3393   116.82982996627435    0.21666127000738983
3 2002-06-03    3665   118.73406201645325    0.3443310993716908
4 2004-07-05    4683   118.24880763646489    0.4328527957721561
5 2004-07-06    4684   118.1147717058598    0.46188738577130906
6 2005-07-24    5950   117.44850425543612    0.36446160494456414
7 2005-07-27    5951   118.3500583757807    0.5042574629023236
8 2005-07-29    5952   118.15480328020276    0.43116678477483394
9 2009-05-18    10556   119.274541039958    0.39368311287462077
10 2014-10-20    16218   118.32589136400533    0.4594803339082677
11 2015-05-14    16966   119.16575644308668    0.46207637924415257
12 2016-10-08    18057   118.07388878704741    0.40759634610803674
13 2016-07-12    18731   117.18904403544288    0.44809583554330945
14 2016-07-18    18732   115.14497139439217    0.4408781824149594
15 2017-07-15    19703   117.59363980698834    0.37271802383780844
16 2017-07-25    19704   115.71465474602451    0.34185871717487726
17 2017-04-06    19726   115.66674119166478    0.5380658293071041
18 2017-04-07    19727   115.90267658704572    0.6487849131735666
19 2017-04-12    20040   116.80950831664508    0.53744991771218
20 2019-03-31    21455   118.1602950644715    0.6203085031346678
