Distance between I and E
------------------------------------------------

STATISTICS

Linear fit parameters: [-1.11658705e-04  1.64788076e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 4.01914692e-09 -2.95103227e-03]
 [-2.95103227e-03  2.16679730e+03]]
rms error in linear fit: 4.691732071172225

Null fit parameter: [82.80340381]
Null covariance matrix: 
[[0.02274718]]
rms error in null fit: 5.198146460048249

chi-squared test statistic: 0.26635412305388356

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   82.91815267185422    0.6476983758511654
1 2002-05-25    3392   83.15597069322251    0.21406188969865672
2 2002-05-28    3393   82.86073678385598    0.2169807047755928
3 2003-06-19    3549   82.75984360739326    0.5679446270631849
4 2002-05-24    3663   82.63561501520225    0.5856993757356018
5 2002-06-03    3665   84.47349636255261    0.42611059339381036
6 2004-07-05    4683   82.84729142963744    0.37354795328712853
7 2004-07-06    4684   83.03091357455226    0.2895682257731579
8 2005-07-24    5950   83.22059274966723    0.36260934120173915
9 2005-07-27    5951   82.71249551754809    0.37587020765319606
10 2005-07-29    5952   82.34250686063744    0.4414276148295068
11 2005-07-30    5953   82.9802162794386    0.32307453096086675
12 2009-05-18    10556   83.39523608343505    0.23395655636875043
13 2013-09-14    15043   83.12789586121195    0.2529330372821024
14 2014-10-20    16218   83.57482819564021    0.17813468440266794
15 2016-10-08    18057   82.52769232203248    0.2143195478312272
16 2016-07-12    18731   80.50290980343324    0.3198477669040407
17 2016-07-18    18732   81.72999989414083    0.26145979152077475
18 2017-07-15    19703   82.60430992629676    0.34154658481647404
19 2017-07-25    19704   80.89118165594344    0.442226493551544
20 2017-04-06    19726   80.97236123041164    0.6492078456691146
21 2017-04-07    19727   80.4648340443792    0.6069377130238165
22 2017-04-12    20040   82.39063705223909    0.38621172959196964
23 2017-04-11    20041   82.47511861792401    0.4987014841823219
24 2018-04-22    20345   82.11612249410958    0.41661575654888794
25 2018-04-24    20346   83.83887856146202    0.2579112606975128
26 2018-04-25    20347   82.59848908988212    0.487552296295423
27 2019-03-29    21453   82.22763982983697    0.6277443899457172
28 2019-03-30    21454   83.12796061856234    0.4468792824064048
29 2019-03-31    21455   81.71231199835285    0.5755761820611868
