Distance between K and A
------------------------------------------------

STATISTICS

Linear fit parameters: [1.30203019e-04 1.04320595e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 4.87937902e-09 -3.57939568e-03]
 [-3.57939568e-03  2.62578331e+03]]
rms error in linear fit: 4.835948121773273

Null fit parameter: [199.83441382]
Null covariance matrix: 
[[0.02652492]]
rms error in null fit: 4.7672539246390775

chi-squared test statistic: 0.116976296154606

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-03-23    2952   199.84659116432255    0.48567622192860027
1 2002-05-25    3392   199.43325128074696    0.30176817467555705
2 2002-05-28    3393   199.18171458562855    0.3124268273744461
3 2002-05-24    3663   199.2625383683748    0.5702610275890033
4 2002-06-03    3665   199.59809505010406    0.4130372013442551
5 2005-07-24    5950   201.26668889466225    0.5587620417083244
6 2005-07-29    5952   198.06017263949784    0.5167584043076592
7 2005-07-30    5953   199.2377907617676    0.6061025672679653
8 2008-05-05    9169   199.58845992752805    0.6335631913572325
9 2008-05-06    9170   201.21226952609214    0.824294398552431
10 2008-05-11    9172   198.34940818245718    0.7204857885770279
11 2009-05-18    10556   200.2657968851873    0.2912282241327322
12 2010-05-13    11843   201.2708642518355    0.5022387353963621
13 2011-03-31    13017   201.00526092324392    0.9374006224962314
14 2013-10-23    14704   198.9200294529836    0.7407315485911427
15 2013-04-06    14941   199.82154998054264    0.6978742600885185
16 2014-04-28    16213   199.53359241726577    0.5562575168546099
17 2015-02-13    16963   199.1169080107886    0.6814618432534488
18 2015-08-17    16965   198.7384924679553    0.7989244849552427
19 2016-10-08    18057   198.81207686009213    0.8570436068489959
20 2016-07-18    18732   201.71892303435283    0.4205585906499131
21 2017-07-15    19703   200.2885453079477    0.3962093626966108
22 2017-07-25    19704   199.48842424255457    0.4679601423406754
23 2017-04-06    19726   199.5843177568814    0.7579889380715742
24 2017-04-07    19727   199.64162139224393    0.7337921926745212
25 2017-04-11    20041   200.32026515704786    0.6023382141892264
26 2018-04-20    20344   200.55006789325384    0.5819755757731637
27 2018-04-24    20346   199.77276619265288    0.7475264623956662
