Distance between K and B
------------------------------------------------

STATISTICS

Linear fit parameters: [1.53250736e-05 1.69713814e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.80113342e-09 -1.32117978e-03]
 [-1.32117978e-03  9.69129042e+02]]
rms error in linear fit: 2.107720611960116

Null fit parameter: [180.95516803]
Null covariance matrix: 
[[0.00771867]]
rms error in null fit: 2.085808675742069

chi-squared test statistic: 0.024548827228739665

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   180.32291516660422    0.413115624163355
1 2002-05-25    3392   181.11634376904507    0.30633216570885763
2 2002-05-28    3393   181.041380806849    0.2806807597769288
3 2002-06-03    3665   180.62910953657948    0.3568008516635434
4 2004-07-06    4684   181.63926598878732    0.576222457088177
5 2005-07-29    5952   180.6478885854216    0.4462637882865207
6 2005-07-30    5953   181.52047227001793    0.4968566238222601
7 2009-05-18    10556   180.66998275387678    0.34428082208237143
8 2010-05-13    11843   181.31634354629995    0.38387923571800486
9 2013-09-20    14944   180.82545890203755    0.6096071913015031
10 2013-08-11    15042   180.94952153595148    0.27505642577148187
11 2013-10-28    15045   181.2883742668829    0.3980836426812177
12 2014-08-02    16216   180.45488437664153    0.4341014578486517
13 2014-07-04    16597   179.52710745563218    1.0636009622790503
14 2016-07-18    18732   181.18366425076093    0.3192716010546108
15 2017-07-15    19703   181.29276090654525    0.3771264714808244
16 2017-07-25    19704   180.58956052935008    0.45380984802758867
