Distance between K and C
------------------------------------------------

STATISTICS

Linear fit parameters: [-4.66054309e-05  2.13165834e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.03436828e-09 -7.59389230e-04]
 [-7.59389230e-04  5.57515850e+02]]
rms error in linear fit: 5.07132007819183

Null fit parameter: [178.95010765]
Null covariance matrix: 
[[0.00463643]]
rms error in null fit: 5.142818773398841

chi-squared test statistic: 0.14374912983935528

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   178.86706734561122    0.3764497413172367
1 2002-03-23    2952   179.03997381097292    0.3894603714491584
2 2002-04-19    2953   178.44320018052707    0.5715414251101704
3 2002-05-25    3392   179.11892526816146    0.1760521261271089
4 2002-05-28    3393   178.88309804698437    0.22842567406725497
5 2003-06-19    3549   179.76745992671584    0.49058574515107306
6 2002-05-24    3663   179.51866355686062    0.4089807281689225
7 2002-06-03    3665   179.4022440364631    0.2938456863861706
8 2004-07-05    4683   178.21101496376403    0.3440363856281489
9 2004-07-06    4684   179.00865517597555    0.31924159841388483
10 2005-07-24    5950   179.77781587080358    0.33374899749018133
11 2005-07-27    5951   179.79397829839485    0.4278786796231782
12 2005-07-29    5952   179.10133714997747    0.2829720320983606
13 2005-07-30    5953   179.68829333960974    0.29175130346367883
14 2006-07-17    6363   179.24053206585947    0.2968438022612136
15 2008-05-05    9169   179.74478324937564    0.42648542205478485
16 2008-05-06    9170   179.490151368618    0.5285051160206143
17 2008-05-10    9171   178.74246085104014    0.4506004841971119
18 2008-05-11    9172   178.18507813342393    0.3797724717157236
19 2008-07-26    9173   177.70868037309836    0.31086217862682053
20 2008-07-25    9174   179.47363142646094    0.4497507225063176
21 2009-05-18    10556   178.72854372367212    0.23673688908004115
22 2010-05-13    11843   179.20293090148533    0.453764999429181
23 2011-03-29    13016   179.75780255010088    0.5921239114534719
24 2011-03-31    13017   178.32656515173286    0.4904570720094407
25 2013-10-23    14704   178.82268378942618    0.39947201800856347
26 2013-04-06    14941   178.37953503967404    0.6802210932392209
27 2013-10-17    14943   178.17644044976964    0.2759049454885243
28 2013-09-20    14944   178.18494614940124    0.37265673690136475
29 2013-07-27    15041   179.33034015645134    0.3279419523347594
30 2013-08-11    15042   178.5233947285796    0.35926264904806215
31 2013-09-14    15043   179.06886411993963    0.3130433803534086
32 2013-10-04    15044   179.00841334568676    0.4477580483239425
33 2013-10-28    15045   178.23210951470426    0.3977597244352796
34 2014-03-14    16211   177.8070051259608    0.49200182071260984
35 2014-04-04    16212   178.90925581959485    0.46540440714372333
36 2014-04-28    16213   179.09052910085057    0.3413802141862444
37 2014-05-20    16214   178.58220254942725    0.5336499926879239
38 2014-07-16    16215   179.96454286416943    0.709461732336957
39 2014-08-02    16216   179.38016802461186    0.323958479119451
40 2014-08-30    16217   179.51780661712442    0.34754118246954774
41 2014-02-21    16508   179.8357810547607    0.3658074024522462
42 2015-02-13    16963   178.72687454358157    0.2904392367778159
43 2015-08-17    16965   178.79247058175235    0.3706648046902199
44 2016-10-14    18058   179.42478860505076    0.5163033304947305
45 2016-07-12    18731   178.87149215359673    0.1830249371370508
46 2016-07-18    18732   178.90122540372084    0.25262708610841045
47 2017-07-15    19703   179.11413431088585    0.29352212663683763
48 2017-07-25    19704   178.8207170861014    0.2716897655873502
49 2017-04-06    19726   176.10947482764183    0.6541350145934125
50 2017-04-07    19727   178.63426094761576    0.3461867175060387
51 2017-04-12    20040   179.17612520943146    0.5850466147891097
52 2017-04-11    20041   177.6567855365108    0.43850052242113763
53 2018-04-20    20344   179.437944696089    0.4495288878918399
54 2018-04-22    20345   179.36763340859088    0.5858683657013297
55 2018-04-24    20346   179.75733856336456    0.4949816944464849
56 2018-04-25    20347   179.37018188276915    0.4135391148918153
57 2019-03-29    21453   179.0777961765671    0.4100006205837698
58 2019-03-30    21454   178.89847582035324    0.43665372775151995
59 2019-03-31    21455   178.7972558491832    0.46484060806674926
60 2019-04-01    21456   178.58872421102507    0.3920961203623003
