Distance between K and D
------------------------------------------------

STATISTICS

Linear fit parameters: [8.80672810e-05 5.90963255e+01]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 3.05519262e-09 -2.24137446e-03]
 [-2.24137446e-03  1.64435160e+03]]
rms error in linear fit: 3.829708470376097

Null fit parameter: [123.70493732]
Null covariance matrix: 
[[0.01775036]]
rms error in null fit: 3.8469767690543906

chi-squared test statistic: 0.11846410947567675

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   123.71610190602398    0.6370205959618259
1 2002-05-25    3392   123.12849196400998    0.2311106783141757
2 2002-05-28    3393   122.75868584106183    0.25352382737567114
3 2002-06-03    3665   124.20715883861833    0.3934448543186558
4 2004-07-05    4683   123.77608527193414    0.4632518311647976
5 2004-07-06    4684   124.13674927901485    0.5246002314770526
6 2005-07-24    5950   123.55600806466536    0.38377402069585254
7 2005-07-27    5951   123.870434065002    0.5769737250900723
8 2005-07-29    5952   123.97496400506874    0.4751424418338801
9 2006-07-17    6363   122.99423349288669    0.5633107989841484
10 2008-05-05    9169   124.67103932247575    0.578760754833821
11 2009-05-18    10556   124.96574534719377    0.43033440921273963
12 2010-05-13    11843   124.87491610281185    0.5726681554494762
13 2013-10-23    14704   124.4114500730157    0.3886252531594964
14 2014-05-20    16214   124.26520416277378    0.5293327420771399
15 2014-08-02    16216   124.25141687559596    0.5369184344660064
16 2015-05-14    16966   125.05792854673057    0.6536582166715762
17 2016-10-08    18057   123.98063096110792    0.5946218779050727
18 2016-10-14    18058   124.99462168248351    0.6286925794820413
19 2016-07-12    18731   124.33468545835721    0.471720432626535
20 2016-07-18    18732   122.91356384442493    0.432569725784553
21 2017-07-15    19703   124.01286124611963    0.40708644419084694
22 2017-07-25    19704   123.08516016135333    0.35085257603582515
23 2017-04-06    19726   122.68855242841754    0.5651554029310362
24 2017-04-07    19727   123.34640208579239    0.6625164069348786
25 2017-04-12    20040   123.05175864103487    0.6470994139802784
26 2018-04-20    20344   124.32452442772896    0.5168286120341284
27 2019-03-31    21455   124.28537874477325    0.6881408871286596
28 2019-04-01    21456   123.36457068324005    0.7843526843681252
