Distance between K and E
------------------------------------------------

STATISTICS

Linear fit parameters: [-5.36901480e-05  1.29031665e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.19252216e-09 -8.75686300e-04]
 [-8.75686300e-04  6.43034633e+02]]
rms error in linear fit: 3.8560619188235505

Null fit parameter: [89.60621127]
Null covariance matrix: 
[[0.00565616]]
rms error in null fit: 4.033695883057259

chi-squared test statistic: 0.16598822006968025

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   89.50295779032092    0.6504947493340245
1 2002-05-25    3392   89.69960583660057    0.23167138260386122
2 2002-05-28    3393   89.71586950903855    0.25429691780703984
3 2003-06-19    3549   89.60745213947388    0.588772626866471
4 2002-05-24    3663   89.52490002420294    0.5771580081925306
5 2002-06-03    3665   90.82603262467731    0.47442478460390725
6 2004-07-05    4683   89.24138664900477    0.3999014194983004
7 2004-07-06    4684   90.01947064003141    0.35104181753160396
8 2005-07-24    5950   90.19966289104049    0.3773338289660715
9 2005-07-27    5951   89.07851232889053    0.4419346026183187
10 2005-07-29    5952   88.95659265325807    0.4840163001849871
11 2005-07-30    5953   89.82359012782797    0.40884014411039893
12 2008-05-06    9170   90.84065090694502    0.6971252426931119
13 2009-05-18    10556   89.94115138759211    0.2668509715087844
14 2010-05-13    11843   89.49620817632427    0.32937626247872875
15 2011-03-29    13016   90.66350735210398    0.9701970896170539
16 2013-07-02    14946   89.22440322168711    0.6654093640775156
17 2013-07-27    15041   90.07418797408481    0.4113272554777126
18 2013-08-11    15042   89.68947678781345    0.378240385548468
19 2013-09-14    15043   89.83448414975732    0.37596369410907915
20 2013-10-04    15044   89.29884956896927    0.4180519730498968
21 2013-10-28    15045   89.39909195345088    0.46527787125295633
22 2014-03-14    16211   88.65501138869395    0.5508159628395043
23 2014-04-04    16212   89.75505415010848    0.4389829037172184
24 2014-04-28    16213   88.7209063036844    0.5015769188188025
25 2014-05-20    16214   90.00407057416035    0.49963580672573743
26 2014-07-16    16215   89.16199436151852    0.4679406681284181
27 2014-08-02    16216   89.37530125836845    0.6092608427064414
28 2014-08-30    16217   88.84599591257998    0.5800795556082868
29 2014-02-21    16508   90.0896602436353    0.512220957767519
30 2015-08-17    16965   89.16130390477079    0.5214325837147629
31 2016-10-08    18057   89.32533911595814    0.39975121526942464
32 2016-10-14    18058   89.69711095888638    0.6314100889953229
33 2016-07-12    18731   88.37979354387333    0.3420927383234769
34 2016-07-18    18732   90.16812556103982    0.24672968462858938
35 2017-07-15    19703   89.89303988101732    0.3778136031189828
36 2017-07-25    19704   88.99919220683948    0.45242671092853187
37 2017-04-06    19726   88.96224728322639    0.6732468230554963
38 2017-04-07    19727   88.76888027669295    0.6105151077284239
39 2017-04-12    20040   89.37807985698014    0.4927962407096199
40 2017-04-11    20041   88.36853939797005    0.5941915019906804
41 2018-04-20    20344   90.0191981187747    0.5525715905829922
42 2018-04-22    20345   89.35411009494746    0.45460424869860744
43 2018-04-24    20346   90.43515914741944    0.36841363339453975
44 2018-04-25    20347   89.53280133367417    0.5696197773399192
45 2019-03-29    21453   89.36045354681737    0.6673972809951383
46 2019-03-30    21454   89.67676190879496    0.49528008243663113
47 2019-03-31    21455   88.84209827885259    0.6348924547735639
48 2019-04-01    21456   89.10504214670385    0.6488903056756076
