Distance between K and G
------------------------------------------------

STATISTICS

Linear fit parameters: [-1.04994088e-04  1.26359626e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.03042240e-09 -7.58239182e-04]
 [-7.58239182e-04  5.57955571e+02]]
rms error in linear fit: 1.4728580016883581

Null fit parameter: [49.09943476]
Null covariance matrix: 
[[0.0049691]]
rms error in null fit: 1.8512223790367033

chi-squared test statistic: 0.04411392852391148

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2003-06-19    3549   49.45450953408571    0.1663423555640104
1 2005-07-24    5950   49.78460327964719    0.3808784651608693
2 2005-07-30    5953   50.27779982221973    0.43905688841951
3 2013-10-23    14704   49.440109151432004    0.2608724649483155
4 2013-07-02    14946   49.266504867004954    0.44841571672575997
5 2013-10-28    15045   48.93759003484593    0.29731970226221666
6 2017-07-15    19703   49.01162470038962    0.10348051110236917
7 2017-07-25    19704   48.898263211411496    0.1128060586276311
8 2017-04-06    19726   48.28220894425102    0.3963086521124679
9 2017-04-07    19727   48.74861546884314    0.3912068464352923
10 2018-04-20    20344   49.039191830548994    0.2674873909879754
11 2018-04-22    20345   49.083913453471624    0.2294107014241592
12 2018-04-24    20346   49.14475463621252    0.2584881202608263
13 2018-04-25    20347   49.09678739314302    0.38032970842392233
14 2019-03-29    21453   49.51182561206236    0.2999384254971211
15 2019-03-30    21454   49.366006612149    0.3385904591418594
16 2019-03-31    21455   48.67702507275416    0.3402008442430757
17 2019-04-01    21456   49.18988011494203    0.2938058291812832
