Distance between K and I
------------------------------------------------

STATISTICS

Linear fit parameters: [ 4.66332611e-05 -2.58665308e+01]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 7.13148615e-10 -5.23590435e-04]
 [-5.23590435e-04  3.84421588e+02]]
rms error in linear fit: 2.554417768167971

Null fit parameter: [8.37139511]
Null covariance matrix: 
[[0.00411446]]
rms error in null fit: 2.7282678292246962

chi-squared test statistic: 0.7747156722648538

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   8.315510824184466    0.28957219521941485
1 2002-05-07    2954   8.156309144968029    0.4355254819537563
2 2002-05-25    3392   8.200836114943668    0.12457771901157312
3 2002-05-28    3393   8.358758751144073    0.12898546563501634
4 2003-06-19    3549   8.08418306352383    0.30152259462398867
5 2002-05-24    3663   8.630139642582751    0.30702418664708736
6 2002-06-03    3665   8.23044318395468    0.19689991359126408
7 2004-07-05    4683   8.014996235971024    0.20731764607714603
8 2004-07-06    4684   8.85715813337576    0.19302766131491905
9 2005-07-24    5950   8.45070000974473    0.2525582749250004
10 2005-07-27    5951   8.056724093118914    0.2831550875202311
11 2005-07-29    5952   7.728386082078956    0.24558012705942137
12 2005-07-30    5953   7.919439617356565    0.28647887107265707
13 2007-07-20    7557   7.673950974322635    0.7194501613766041
14 2008-05-10    9171   8.402745577507083    0.3272894941723877
15 2008-07-26    9173   8.524255487612265    0.3242106801882925
16 2009-05-18    10556   8.175431807801637    0.14437481230260318
17 2011-03-31    13017   8.716661216713899    0.4962675060733492
18 2013-04-06    14941   8.289675157410699    0.48231282498315214
19 2013-04-14    14942   8.256935092044982    0.36095486384704534
20 2013-09-14    15043   8.246451672835878    0.11718803657683573
21 2015-05-14    16966   8.232804387297033    0.18883024542590274
22 2016-02-13    18055   7.765515163387815    0.19600101314200158
23 2016-10-08    18057   8.270864356170508    0.17416584292154375
24 2016-07-12    18731   8.886201657427932    0.19131020019475875
25 2016-07-18    18732   9.00375582064722    0.2083710525324449
26 2017-07-15    19703   8.616019946978378    0.15843818680498814
27 2017-07-25    19704   9.11925074487772    0.20199339267070096
28 2017-04-06    19726   9.483017315659831    0.3588218101488367
29 2017-04-07    19727   9.273373678641468    0.28715264749330216
30 2017-04-12    20040   8.085993356696173    0.29618370582383036
31 2017-04-11    20041   7.59796669522451    0.19302486437201732
32 2018-04-22    20345   8.75580511323269    0.25501901537775484
33 2018-04-24    20346   8.043868297667485    0.20624378218181427
34 2018-04-25    20347   8.850922073389468    0.25258064744993175
35 2019-03-29    21453   8.545473208724845    0.27410875945918195
36 2019-03-30    21454   8.543971116958376    0.23069172046047567
37 2019-03-31    21455   9.043166628007178    0.2724111614007724
