Distance between L and A
------------------------------------------------

STATISTICS

Linear fit parameters: [1.93889715e-04 6.50165799e+01]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.62110391e-08 -1.18875078e-02]
 [-1.18875078e-02  8.71715674e+03]]
rms error in linear fit: 5.588566174957179

Null fit parameter: [207.19534363]
Null covariance matrix: 
[[0.08816723]]
rms error in null fit: 5.479380207557721

chi-squared test statistic: 0.1506486744826362

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-25    3392   206.760139885175    0.3427864354441161
1 2002-05-28    3393   206.11224330143492    0.3429556520602689
2 2002-05-24    3663   206.5323283384403    0.6096541529830534
3 2002-06-03    3665   208.02951637686618    0.43160466108657425
4 2005-07-24    5950   208.0917431498021    0.6297235143506925
5 2005-07-29    5952   204.00738570347445    0.5804298870068346
6 2005-07-30    5953   206.25728058075572    0.6621946079730597
7 2009-05-18    10556   207.5899797814338    0.3461209356128382
8 2010-05-13    11843   209.93994816120465    0.5612281327060714
9 2013-10-23    14704   206.23350142200945    0.8274764539179453
10 2014-10-20    16218   207.51745562432035    0.6798247001718482
11 2015-08-17    16965   206.10114880161208    0.9466452210577104
12 2016-10-08    18057   206.08390079131095    0.9604046411251463
13 2016-07-18    18732   208.8558577509987    0.4901112504249988
14 2017-07-15    19703   208.3256667028376    0.4585297213772042
15 2017-07-25    19704   207.12309929561673    0.5268553042462918
16 2017-04-07    19727   206.9851041997318    0.8300853086699681
17 2018-04-24    20346   206.52849867599645    0.8015468191559181
