Distance between L and C
------------------------------------------------

STATISTICS

Linear fit parameters: [-5.87150521e-05  2.27909317e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 4.06485361e-09 -2.98318557e-03]
 [-2.98318557e-03  2.18937177e+03]]
rms error in linear fit: 4.777697657646436

Null fit parameter: [184.81849221]
Null covariance matrix: 
[[0.01948884]]
rms error in null fit: 4.8509662887314775

chi-squared test statistic: 0.12349265212603548

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   183.8686508064568    0.4560100913332708
1 2002-05-25    3392   184.97382206354985    0.21292719178587857
2 2002-05-28    3393   184.25222257281706    0.25970318839328194
3 2002-05-24    3663   185.76352388330568    0.45428128553674973
4 2002-06-03    3665   186.61669095672383    0.31366636412872123
5 2004-07-05    4683   185.58052702228355    0.40039446126280914
6 2005-07-24    5950   184.95566174005046    0.4021437896292193
7 2005-07-27    5951   185.74247430119226    0.4650450105908867
8 2005-07-29    5952   183.2407592136245    0.3406197429089123
9 2005-07-30    5953   184.98519834918974    0.352679232520227
10 2006-07-17    6363   183.8655538212248    0.36892209683548766
11 2008-07-25    9174   186.16755699288382    0.556332008307824
12 2009-05-18    10556   184.71826046089652    0.2886065369109536
13 2010-05-13    11843   186.56273214596717    0.5049381609524632
14 2013-10-23    14704   185.0086814014219    0.47953049162533046
15 2013-07-27    15041   185.73739962816705    0.398067892833236
16 2013-08-11    15042   184.7555231624039    0.4301147482439166
17 2013-10-28    15045   183.45819374138924    0.4844018603429776
18 2014-04-04    16212   183.99178628657168    0.5175479971738901
19 2014-05-20    16214   184.96178111866797    0.615773236500625
20 2014-07-16    16215   185.12606873791947    0.7998925503931663
21 2014-08-02    16216   185.0571583658145    0.38696815794510936
22 2014-08-30    16217   184.4023802983736    0.3957117980283837
23 2014-10-20    16218   185.68891428723936    0.38522386861244523
24 2014-02-21    16508   185.10221038856335    0.4337205631310708
25 2015-08-17    16965   184.4363005794965    0.5078023361172038
26 2016-07-12    18731   184.11282827864312    0.23136445363308478
27 2016-07-18    18732   184.40873084136157    0.31912514333911884
28 2017-07-15    19703   185.75362729449446    0.34609482989276746
29 2017-07-25    19704   184.93100730174615    0.32781229619489805
30 2017-04-07    19727   184.34091078768841    0.43549558200753
31 2018-04-24    20346   184.98053201547452    0.5480610779013301
32 2019-03-29    21453   183.47739592879836    0.4771801024326005
33 2019-03-31    21455   184.58655278897587    0.5393633805533987
