Distance between L and D
------------------------------------------------

STATISTICS

Linear fit parameters: [1.26982719e-04 3.85502341e+01]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 7.89776192e-09 -5.79171366e-03]
 [-5.79171366e-03  4.24731387e+03]]
rms error in linear fit: 4.3680944818510135

Null fit parameter: [131.67124333]
Null covariance matrix: 
[[0.04341327]]
rms error in null fit: 4.494590063806445

chi-squared test statistic: 0.14492331049553173

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   131.22717688097023    0.7211151284047951
1 2002-05-25    3392   131.11945800230458    0.27219047167624594
2 2002-05-28    3393   130.42301377942954    0.2843808624673194
3 2002-06-03    3665   133.11317014677462    0.41191324192011697
4 2004-07-05    4683   132.86509739479973    0.5377817799317147
5 2005-07-24    5950   131.1603326527766    0.46205680164395113
6 2005-07-27    5951   131.99701051626886    0.6283919735550627
7 2005-07-29    5952   130.8384370848457    0.5441039700229274
8 2006-07-17    6363   130.14822648173526    0.6388011427198036
9 2009-05-18    10556   132.89900822583576    0.48811558727794113
10 2010-05-13    11843   134.0569058729779    0.6334711222744771
11 2013-10-23    14704   132.14122104867036    0.47313138908241614
12 2014-05-20    16214   132.44027681887428    0.6209390226559094
13 2014-08-02    16216   131.82427289381243    0.6133932263084971
14 2014-10-20    16218   132.64167382604538    0.6475736126051064
15 2016-10-08    18057   131.98099687245224    0.7063653648899987
16 2016-07-12    18731   131.87542448144686    0.5278542452847244
17 2016-07-18    18732   130.7930234941767    0.5071820477108911
18 2017-07-15    19703   132.61405618010645    0.4719415846902375
19 2017-07-25    19704   131.4302622518683    0.40792188474131663
20 2017-04-07    19727   131.4239076569444    0.7638209927927654
21 2019-03-31    21455   132.27421281575906    0.7726841930596804
