Distance between L and H
------------------------------------------------

STATISTICS

Linear fit parameters: [ 1.30479196e-04 -7.30827602e+01]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 8.30999684e-09 -6.09358904e-03]
 [-6.09358904e-03  4.46837132e+03]]
rms error in linear fit: 4.5509483093947765

Null fit parameter: [22.59556759]
Null covariance matrix: 
[[0.04094672]]
rms error in null fit: 4.675571655742985

chi-squared test statistic: 0.9200771280148259

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   20.75466417397681    0.37800004928398495
1 2002-05-25    3392   21.343939790207642    0.18312766652075416
2 2002-05-28    3393   22.804752608193148    0.17784197984482014
3 2002-05-24    3663   24.04008716306051    0.3134758700583903
4 2002-06-03    3665   22.244123509247178    0.2324303101546119
5 2005-07-24    5950   23.37462066052696    0.3238913090573593
6 2005-07-27    5951   24.382858099870745    0.32808766611650675
7 2005-07-29    5952   20.526708185582468    0.3423793408451753
8 2005-07-30    5953   21.693496937217347    0.3430335208267206
9 2008-07-25    9174   22.42642063147625    0.4439026463746487
10 2009-05-18    10556   22.96105011575607    0.21588156679825518
11 2013-06-04    14703   23.22572621302982    0.41377582363839216
12 2013-10-23    14704   22.407490922270203    0.362761048057114
13 2014-04-04    16212   22.702361031675732    0.29686873438516215
14 2014-05-20    16214   22.34741466984549    0.35701556307673393
15 2014-08-02    16216   24.386421893023943    0.30958443482283887
16 2014-08-30    16217   22.34036806009878    0.3540730394793781
17 2014-10-20    16218   22.94919426324647    0.33979197774714603
18 2015-08-17    16965   21.658849136960725    0.5328195640494745
19 2016-07-18    18732   22.69496609685031    0.25022950437552305
20 2017-07-25    19704   22.800063106994    0.25367341148738515
21 2018-04-24    20346   23.46860802779419    0.353065767521518
