Distance between L and I
------------------------------------------------

STATISTICS

Linear fit parameters: [ 1.10575456e-04 -6.39268418e+01]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 2.14424462e-09 -1.57305195e-03]
 [-1.57305195e-03  1.15402892e+03]]
rms error in linear fit: 2.4954919039898265

Null fit parameter: [17.19307148]
Null covariance matrix: 
[[0.0160508]]
rms error in null fit: 2.9030237961407037

chi-squared test statistic: 0.35864074332890034

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   17.24454232577517    0.3711651095335183
1 2002-05-25    3392   16.943206667712374    0.17025654626830647
2 2002-05-28    3393   17.123795874166753    0.15974418327809833
3 2002-05-24    3663   16.09184357338194    0.35686237973977614
4 2002-06-03    3665   16.946209268392856    0.23386622589601533
5 2004-07-05    4683   17.022113943331874    0.3134384799848637
6 2005-07-24    5950   17.4821516006403    0.3254468359239634
7 2005-07-27    5951   16.93188242216031    0.36134626125444047
8 2005-07-29    5952   16.65730933177754    0.3044856858507257
9 2005-07-30    5953   17.318396017331583    0.3201285788999425
10 2009-05-18    10556   16.600754085980785    0.20360612408351184
11 2014-10-20    16218   16.486010437305424    0.2522495116193955
12 2016-10-08    18057   17.144945912554025    0.27412627186412153
13 2016-07-12    18731   17.632940909745777    0.23985265257978475
14 2016-07-18    18732   18.17108060849102    0.27511580122443097
15 2017-07-15    19703   17.691554906475567    0.23171306441205558
16 2017-07-25    19704   18.406361119838486    0.26019988722595366
17 2017-04-07    19727   18.58887348684342    0.38864593001442393
18 2018-04-24    20346   16.516317702620448    0.2869868597513784
19 2019-03-29    21453   17.420790926039096    0.33336814139697457
20 2019-03-31    21455   17.83999565157263    0.36394880416256165
