Distance between L and K
------------------------------------------------

STATISTICS

Linear fit parameters: [7.70584609e-06 3.34439625e+00]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.12151099e-09 -8.23185671e-04]
 [-8.23185671e-04  6.04221121e+02]]
rms error in linear fit: 2.702903720692651

Null fit parameter: [9.00046403]
Null covariance matrix: 
[[0.00517848]]
rms error in null fit: 2.6997720168639066

chi-squared test statistic: 0.8116656070493288

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   9.000751585575681    0.37813164163089763
1 2002-05-25    3392   8.941521180297501    0.1900862454610355
2 2002-05-28    3393   8.863381880301768    0.19758431396017467
3 2002-05-24    3663   7.9862980574353495    0.36568465435066194
4 2002-06-03    3665   9.296038318717457    0.2808471117222533
5 2004-07-05    4683   9.50310421053771    0.33304608593589613
6 2005-07-24    5950   9.07554618317665    0.34129406325683936
7 2005-07-27    5951   9.083491634167453    0.42390161715233904
8 2005-07-29    5952   8.929716034221782    0.33747882940821416
9 2005-07-30    5953   9.408498164804213    0.4128278505854412
10 2006-07-17    6363   8.704079881476083    0.42941814426517505
11 2008-07-25    9174   10.134446798070623    0.4619560122660234
12 2009-05-18    10556   8.676895251157614    0.2417655235007018
13 2010-05-13    11843   9.617174769443679    0.2774022608992061
14 2013-10-23    14704   8.155308957778583    0.4032828199289028
15 2013-07-27    15041   8.743424914644804    0.30184555330418084
16 2013-08-11    15042   8.901710209141596    0.30578749069621347
17 2013-10-28    15045   10.07594284896474    0.31920466504033584
18 2014-04-04    16212   8.592241303530033    0.33971736561084226
19 2014-05-20    16214   8.736952719838229    0.38844941784718984
20 2014-07-16    16215   9.070913467584994    0.3464668079224382
21 2014-08-02    16216   8.287963959415807    0.3488956709143014
22 2014-08-30    16217   8.635068362336472    0.3887639769633933
23 2014-02-21    16508   8.81339100682097    0.3276340794287846
24 2015-08-17    16965   9.638134111071828    0.5191787522413707
25 2016-10-08    18057   9.01538766837054    0.4682499931828539
26 2016-07-12    18731   8.75584800306523    0.26281948995368376
27 2016-07-18    18732   9.17191576201669    0.2591425763412711
28 2017-07-15    19703   9.285210474105774    0.26324409852707614
29 2017-07-25    19704   9.325046981324798    0.26639473689056786
30 2017-04-07    19727   9.328165550706835    0.396477564889822
31 2018-04-24    20346   8.567965651263322    0.3958332081554344
32 2019-03-29    21453   8.88132920537442    0.3712679784506943
33 2019-03-31    21455   9.004378100262963    0.42508320527474963
