Distance between L and Magnetar
------------------------------------------------

STATISTICS

Linear fit parameters: [ 1.83030785e-04 -1.16368318e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 3.71150685e-08 -2.73060849e-02]
 [-2.73060849e-02  2.00894896e+04]]
rms error in linear fit: 2.4018986296947653

Null fit parameter: [18.29003878]
Null covariance matrix: 
[[0.01360297]]
rms error in null fit: 2.4646314161737934

chi-squared test statistic: 0.31639861382156054

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2013-06-04    14703   17.718471358257574    0.2517976122930468
1 2013-10-23    14704   17.834624993481093    0.2379921595450294
2 2013-08-31    14945   18.835883290454507    0.2918521764716361
3 2013-07-27    15041   17.85261253335984    0.18282296812288562
4 2013-08-11    15042   18.1019745531519    0.1812026358312867
5 2013-10-28    15045   19.725405839594792    0.19575152025431586
6 2014-04-04    16212   17.893139579405446    0.1973166226297351
7 2014-05-20    16214   17.758665959592086    0.24143434151614324
8 2014-07-16    16215   18.17572184183773    0.2206440923422032
9 2014-08-02    16216   17.190972823673054    0.22098208618635165
10 2014-08-30    16217   18.139463543961995    0.22537939564241444
11 2014-10-20    16218   17.927498753027134    0.22406499791258536
12 2014-02-21    16508   18.516303526934145    0.19831540728137556
13 2015-08-17    16965   18.717056452457    0.3445899476444014
14 2016-10-08    18057   18.89310642138348    0.3055935223946853
15 2016-07-12    18731   18.65763298703914    0.17507915587697004
16 2016-07-18    18732   18.683966528837985    0.18047125861246832
17 2017-07-15    19703   18.116667595662214    0.1910878934886841
18 2017-07-25    19704   18.69451050688203    0.19252429007644611
19 2017-04-07    19727   18.4861338313654    0.3019744011818733
20 2018-04-24    20346   18.17369785422511    0.20784930367304794
21 2019-03-31    21455   18.37486398228581    0.31821196821071884
