Distance between Magnetar and C
------------------------------------------------

STATISTICS

Linear fit parameters: [1.01598960e-04 1.04491349e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.75169091e-08 -1.28876728e-02]
 [-1.28876728e-02  9.48182188e+03]]
rms error in linear fit: 3.1466172440044375

Null fit parameter: [179.24050427]
Null covariance matrix: 
[[0.0057595]]
rms error in null fit: 3.2042810153587853

chi-squared test statistic: 0.05522640286461275

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2013-10-23    14704   179.1472637583806    0.31244730288187217
1 2013-10-17    14943   179.20198440184123    0.16713188374492965
2 2013-09-20    14944   179.09851688925468    0.2588161031656825
3 2013-07-27    15041   179.26957128567284    0.26476691860512824
4 2013-08-11    15042   179.00013224684065    0.2959135746728594
5 2013-09-14    15043   179.3966411928813    0.24248470131111413
6 2013-10-04    15044   179.50038367623662    0.3800727332970401
7 2013-10-28    15045   178.57770952470918    0.33744778989671276
8 2014-06-03    16210   179.70747455441847    0.38286767042775105
9 2014-03-14    16211   178.5448655697561    0.4200963025807217
10 2014-04-04    16212   179.1344074605419    0.3916567841582679
11 2014-04-28    16213   179.3627372023795    0.27082500385478214
12 2014-05-20    16214   178.98784553339237    0.45649645422774365
13 2014-07-16    16215   180.2002145985009    0.645195215832534
14 2014-08-02    16216   179.93638537491805    0.2573846926868163
15 2014-08-30    16217   179.31330573257557    0.24903990294018116
16 2014-10-20    16218   179.01420678866873    0.23270454546498662
17 2014-02-21    16508   179.9299547554364    0.30307054427553404
18 2015-02-13    16963   178.68645931617363    0.22259344049568489
19 2015-08-17    16965   179.10500921322202    0.2837735134241174
20 2016-07-12    18731   179.17004887084946    0.14695025595774303
21 2016-07-18    18732   179.0831868445793    0.22224468133906009
22 2017-07-15    19703   179.79863274979417    0.25790368364323074
23 2017-07-25    19704   179.1574893157555    0.24376533641872292
24 2017-04-06    19726   178.09671221936864    0.6238875122980686
25 2017-04-07    19727   178.71828654288493    0.31181373730261375
26 2017-04-12    20040   179.20443593172487    0.5002490519093078
27 2017-04-11    20041   178.4083877290039    0.329484161301896
28 2018-04-20    20344   179.84682682289034    0.4930639805540897
29 2018-04-22    20345   180.01667956177818    0.582573163101005
30 2018-04-24    20346   180.9077554998682    0.38526114831516517
31 2018-04-25    20347   179.59588099344867    0.3703119237886201
32 2019-03-31    21455   179.54687954058383    0.42896883987831225
