Distance between Magnetar and D
------------------------------------------------

STATISTICS

Linear fit parameters: [-3.37539818e-04  3.68736553e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 8.14671255e-08 -5.99606955e-02]
 [-5.99606955e-02  4.41317550e+04]]
rms error in linear fit: 2.4779974749118283

Null fit parameter: [120.3035538]
Null covariance matrix: 
[[0.02797013]]
rms error in null fit: 2.4959433967930313

chi-squared test statistic: 0.05109618994205617

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2013-10-23    14704   120.52749438652923    0.2525608353244688
1 2014-05-20    16214   120.67125757662367    0.40847161280278055
2 2014-08-02    16216   120.88114637384096    0.42170634579027105
3 2014-10-20    16218   120.2804685168949    0.4454276649590006
4 2015-05-14    16966   121.45979308425545    0.4910955355415566
5 2016-10-08    18057   120.50195028889766    0.4633498190108852
6 2016-07-12    18731   120.5288525902382    0.39847657580338364
7 2016-07-18    18732   119.21767138248634    0.3648807671448481
8 2017-07-15    19703   120.77674375968222    0.3436666098434458
9 2017-07-25    19704   119.427283499402    0.30084260720239925
10 2017-04-06    19726   120.40150464913046    0.49245756762260207
11 2017-04-07    19727   119.68321935368112    0.586477798359926
12 2017-04-12    20040   119.25254481648297    0.5143745533811797
13 2018-04-20    20344   120.64457034417345    0.5255937771732909
14 2019-03-31    21455   121.00853714255554    0.5958427494513154
