Distance between Magnetar and H
------------------------------------------------

STATISTICS

Linear fit parameters: [ 2.65698695e-04 -1.76391185e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 8.53002034e-08 -6.27588828e-02]
 [-6.27588828e-02  4.61743319e+04]]
rms error in linear fit: 3.911318849207323

Null fit parameter: [19.09432084]
Null covariance matrix: 
[[0.02940103]]
rms error in null fit: 3.9346527204885824

chi-squared test statistic: 0.7985111028514862

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2013-06-04    14703   19.20033339732147    0.21640877380392093
1 2013-10-23    14704   18.275041812760204    0.17281412075082292
2 2013-09-20    14944   18.06946154161655    0.23936696205826752
3 2013-10-04    15044   19.773370398316683    0.14782469815761493
4 2014-06-03    16210   19.57805663625086    0.2543713566464977
5 2014-04-04    16212   19.08802495992548    0.14943486894202562
6 2014-04-28    16213   18.975375809116453    0.15909092104138695
7 2014-05-20    16214   18.18029482822614    0.17422528635640652
8 2014-08-02    16216   20.516419215995853    0.163372714064888
9 2014-08-30    16217   18.556244617901754    0.18956697293951608
10 2014-10-20    16218   18.689075443310504    0.180446292364267
11 2014-07-04    16597   19.09332221495211    0.2512893297959611
12 2015-10-21    16964   18.166923096941265    0.2788523993496537
13 2015-08-17    16965   17.523979260122264    0.2848449082203161
14 2015-05-14    16966   19.555233636260294    0.233650418606271
15 2016-07-18    18732   18.933534897950917    0.14191927540051624
16 2017-07-25    19704   18.64347558411474    0.1637592592160709
17 2017-04-06    19726   19.826312167192867    0.3127354133714988
18 2017-04-12    20040   18.248765874814385    0.26063362166823245
19 2018-04-20    20344   19.611921339542327    0.3782425659763708
20 2018-04-22    20345   17.883817103291772    0.2850763466514053
21 2018-04-24    20346   20.69509395103394    0.1558040160135263
22 2018-04-25    20347   19.737572136644715    0.23464916039001926
