Distance between Magnetar and I
------------------------------------------------

STATISTICS

Linear fit parameters: [ 3.03520645e-04 -2.18442732e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.42512276e-08 -1.04791099e-02]
 [-1.04791099e-02  7.70542628e+03]]
rms error in linear fit: 2.8082763394533967

Null fit parameter: [4.73987798]
Null covariance matrix: 
[[0.00377882]]
rms error in null fit: 3.063436708779861

chi-squared test statistic: 1.5469143420943277

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2013-09-14    15043   4.669708611119614    0.010842873465760818
1 2014-10-20    16218   4.889468759114567    0.055992956246226105
2 2015-05-14    16966   5.149267061264401    0.048854059193457956
3 2016-02-13    18055   4.920729823762235    0.1064729780031058
4 2016-10-08    18057   5.217299073391027    0.07510843626277244
5 2016-07-12    18731   5.715219738301871    0.1290624434146798
6 2016-07-18    18732   6.408187106172435    0.14859693134162635
7 2017-07-15    19703   5.110392901220541    0.10970815184999333
8 2017-07-25    19704   5.6953481038601    0.15299830946526377
9 2017-04-06    19726   6.324374798380059    0.307688811007792
10 2017-04-07    19727   5.256465684369642    0.21774335197206926
11 2017-04-12    20040   4.813757997514726    0.1986439449217491
12 2017-04-11    20041   4.22880622810213    0.06450545687913259
13 2018-04-22    20345   4.773489649415347    0.24650774903037262
14 2018-04-24    20346   5.370764861938382    0.05746238644651052
15 2018-04-25    20347   3.999060589686077    0.196537105507973
16 2019-03-31    21455   4.349685476109745    0.2234894953586058
