Distance between N and A
------------------------------------------------

STATISTICS

Linear fit parameters: [2.02518496e-04 5.47569938e+01]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 4.20342063e-09 -3.08456872e-03]
 [-3.08456872e-03  2.26354959e+03]]
rms error in linear fit: 4.502512723537813

Null fit parameter: [203.36982304]
Null covariance matrix: 
[[0.02760721]]
rms error in null fit: 4.713396263335055

chi-squared test statistic: 0.09959535329849813

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-03-23    2952   202.76700953619115    0.593857505585464
1 2002-05-25    3392   202.5665367826    0.3833990546256423
2 2002-05-28    3393   202.44460854897918    0.3637135908474892
3 2002-05-24    3663   202.52716404773054    0.6440211995338121
4 2002-06-03    3665   203.3083851634514    0.42780535485974097
5 2005-07-24    5950   204.07440258545083    0.6462179677229318
6 2005-07-29    5952   201.79696613139407    0.6980532246268603
7 2005-07-30    5953   202.37355308604228    0.64110493511501
8 2005-08-01    5954   202.3142641609309    1.1091433007129776
9 2009-05-18    10556   203.5338541576645    0.2592121605403344
10 2010-05-13    11843   205.09584354249924    0.5266631585852359
11 2011-03-31    13017   204.75939118572649    0.9956702113043588
12 2013-10-23    14704   202.58046050413049    0.8026484686002178
13 2013-04-06    14941   203.3000609362787    0.7320506910139818
14 2014-04-28    16213   202.93033048472643    0.6440746827049193
15 2014-10-20    16218   202.78084561964369    0.6748623737699052
16 2015-02-13    16963   202.71971512252793    1.0257893614830622
17 2015-08-17    16965   202.40674292032543    0.9170766483243129
18 2016-10-08    18057   202.21184077838942    0.918139286862588
19 2016-07-18    18732   204.93995027894212    0.42783938947648953
20 2017-07-15    19703   204.15123671151468    0.42804845729987995
21 2017-07-25    19704   203.2833677528489    0.4997147974404478
22 2017-04-06    19726   204.54521479132612    0.7732604658568659
23 2017-04-07    19727   203.1573096859946    0.7415750051701956
24 2017-04-11    20041   204.14255456489929    0.6178028484144487
25 2018-04-20    20344   204.17289935642685    0.5960625742386321
26 2018-04-24    20346   203.25878559242534    0.704787355710525
