Distance between N and B
------------------------------------------------

STATISTICS

Linear fit parameters: [3.61245862e-05 1.48770904e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.99077818e-09 -1.46065687e-03]
 [-1.46065687e-03  1.07170943e+03]]
rms error in linear fit: 1.896900124472051

Null fit parameter: [175.27592915]
Null covariance matrix: 
[[0.00847707]]
rms error in null fit: 1.8626637781588669

chi-squared test statistic: 0.0205242196803175

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   174.92489419513663    0.6532392188764404
1 2002-05-25    3392   175.0212981656736    0.4077863874155112
2 2002-05-28    3393   175.26047932500015    0.3619029906299385
3 2002-06-03    3665   175.1104112363175    0.4102874669437882
4 2004-07-06    4684   175.69383655146586    0.7705648630032815
5 2005-07-29    5952   175.22465751882044    0.6499569813381786
6 2005-07-30    5953   175.54765174412051    0.5801247530844422
7 2009-05-18    10556   174.9595843753418    0.33854832720888645
8 2010-05-13    11843   175.99514050548737    0.43742606557347624
9 2013-09-20    14944   175.24090505592955    0.7555302655005759
10 2013-08-11    15042   175.37405374874837    0.33754315492751474
11 2013-10-28    15045   175.52917284328478    0.5061107325206381
12 2014-08-02    16216   174.61108360424694    0.5307279027947436
13 2014-07-04    16597   174.1037146264246    1.165796463546542
14 2016-07-18    18732   175.21925187985303    0.37969492369705127
15 2017-07-15    19703   175.93520168894392    0.4170840777645835
16 2017-07-25    19704   175.0383899242725    0.5149431505919245
