Distance between N and C
------------------------------------------------

STATISTICS

Linear fit parameters: [-2.62260927e-06  1.73033589e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 5.95648706e-10 -4.37498044e-04]
 [-4.37498044e-04  3.21340559e+02]]
rms error in linear fit: 3.321087607919249

Null fit parameter: [171.10730847]
Null covariance matrix: 
[[0.00255717]]
rms error in null fit: 3.3214563094297174

chi-squared test statistic: 0.0644609434596733

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   171.2112302626652    0.5768492364885685
1 2002-02-19    2951   170.90603412401745    0.5356227899717476
2 2002-03-23    2952   171.10366948669827    0.5059648919552989
3 2002-04-19    2953   170.46276953874315    0.8816703308998147
4 2002-05-25    3392   170.88699104253058    0.25193883834993364
5 2002-05-28    3393   170.82464657002603    0.29960960725269425
6 2003-06-19    3549   171.62717058372226    0.6062133714930661
7 2002-05-24    3663   171.50431611825795    0.5053899528444282
8 2002-06-03    3665   171.72083092206717    0.3329047504146132
9 2004-07-05    4683   170.84376275469523    0.5458554649885663
10 2004-07-06    4684   170.79936178337803    0.48189428151616953
11 2005-07-24    5950   171.31335891443518    0.44456400037012844
12 2005-07-27    5951   171.3434016186191    0.6296960402721951
13 2005-07-29    5952   171.34841113901967    0.46089122858599324
14 2005-07-30    5953   171.41208991044323    0.35540869070773634
15 2006-07-17    6363   171.20496825602868    0.6052995991093826
16 2009-05-18    10556   170.88822932519554    0.22577674871682835
17 2010-05-13    11843   171.5232557273751    0.47390138494648815
18 2011-03-29    13016   171.47139450958474    0.6272877812667218
19 2011-03-31    13017   171.03955380372003    0.6218497059548286
20 2013-10-23    14704   171.09282062841146    0.46370826314296376
21 2013-04-06    14941   170.6957371669409    0.786956608938391
22 2013-10-17    14943   171.21747701588282    0.3807785086807389
23 2013-09-20    14944   170.65762952246598    0.4585025247352334
24 2013-07-27    15041   171.15362970591218    0.4839698962296789
25 2013-08-11    15042   170.66535794010267    0.4303218422622747
26 2013-09-14    15043   171.37480078045573    0.3976176716789265
27 2013-10-04    15044   171.69584429454073    0.5980910148865045
28 2013-10-28    15045   170.13440454403943    0.5139416378121088
29 2014-06-03    16210   171.35415062250235    0.5894252372392504
30 2014-03-14    16211   170.82599524829374    0.621445204618643
31 2014-04-04    16212   170.98317588048684    0.595408775013474
32 2014-04-28    16213   171.09587228462075    0.41985040594252826
33 2014-05-20    16214   170.77587259911604    0.5899389068624424
34 2014-07-16    16215   172.18359024357898    0.7935431033769939
35 2014-08-02    16216   171.39398087013805    0.414811946298429
36 2014-08-30    16217   171.21247180039168    0.5092231065248471
37 2014-10-20    16218   171.05037662758895    0.4311496711186984
38 2014-02-21    16508   171.52802588874673    0.40995598254084425
39 2015-02-13    16963   171.4165927670687    0.6204360855720448
40 2015-08-17    16965   171.26404131804503    0.49327682748907725
41 2016-10-14    18058   171.5505556664816    0.5188313310797605
42 2016-07-12    18731   170.88707377458908    0.18086758414959922
43 2016-07-18    18732   170.75193194224252    0.29180405738403115
44 2017-07-15    19703   171.5363943605611    0.3162988102489328
45 2017-07-25    19704   171.4047755033348    0.3236583968728211
46 2017-04-06    19726   169.81719459161923    0.6624181680322846
47 2017-04-07    19727   170.6838378251411    0.4003339388598955
48 2017-04-12    20040   171.14092393927325    0.5626052051107396
49 2017-04-11    20041   170.22916447653864    0.465304398143319
50 2018-04-20    20344   171.8210951063067    0.4650860879854209
51 2018-04-22    20345   171.58869241070386    0.6083030785915329
52 2018-04-24    20346   171.6441153578547    0.5472567986023841
53 2018-04-25    20347   171.80494480509478    0.4516108348918195
54 2019-03-29    21453   170.74837863233682    0.5914528026995571
55 2019-03-30    21454   171.2412396685736    0.504793719763276
56 2019-03-31    21455   170.9433202477582    0.6458315780856164
57 2019-04-01    21456   170.73532300022762    0.6615801982472892
