Distance between N and D
------------------------------------------------

STATISTICS

Linear fit parameters: [1.12772332e-04 5.40691146e+01]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 3.72180210e-09 -2.73224542e-03]
 [-2.73224542e-03  2.00581347e+03]]
rms error in linear fit: 3.9301156329172957

Null fit parameter: [136.85741974]
Null covariance matrix: 
[[0.02211534]]
rms error in null fit: 4.00795122200848

chi-squared test statistic: 0.11285776719530365

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   137.3213477804866    0.8023953242099934
1 2002-05-25    3392   135.9522339889205    0.29562774299946837
2 2002-05-28    3393   135.68914365107116    0.2937739271977482
3 2002-06-03    3665   137.49955110491896    0.3862843959683865
4 2004-07-05    4683   137.25913881847634    0.6617418192074886
5 2004-07-06    4684   137.0505459027641    0.6728588725095771
6 2005-07-24    5950   135.97143338403106    0.5133145754423774
7 2005-07-27    5951   136.4814669909476    0.7917570379793663
8 2005-07-29    5952   137.3951308470463    0.6687650635219481
9 2006-07-17    6363   136.00849662996328    0.8982024703815933
10 2009-05-18    10556   137.96987932925586    0.3916998225501644
11 2010-05-13    11843   138.30130724515814    0.5595959003324881
12 2013-10-23    14704   137.01679597094602    0.3836670966035334
13 2014-05-20    16214   137.34095573150154    0.5238985297826266
14 2014-08-02    16216   137.5472611235913    0.5996241097713226
15 2014-10-20    16218   137.2904071978555    0.6083922153515965
16 2015-05-14    16966   138.29762000810754    0.7020344423086331
17 2016-10-08    18057   137.2123625227764    0.7055112782134203
18 2016-10-14    18058   138.21888302900817    0.5502223187686418
19 2016-07-12    18731   137.14391582214145    0.46055086939527484
20 2016-07-18    18732   135.7092694889228    0.44598931830035454
21 2017-07-15    19703   137.14962891225724    0.4139271993319024
22 2017-07-25    19704   136.6200439200553    0.3346222100916731
23 2017-04-06    19726   137.090017262966    0.49357822622797876
24 2017-04-07    19727   136.33102327419405    0.6469359025421332
25 2017-04-12    20040   136.16733866132603    0.5739408837298832
26 2018-04-20    20344   137.29891287458295    0.49287784903338
27 2019-03-31    21455   137.3725916897208    0.835874855682935
28 2019-04-01    21456   136.95022764054661    1.0097529560516294
