Distance between N and O
------------------------------------------------

STATISTICS

Linear fit parameters: [-2.64303369e-04  2.54354839e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.43476609e-08 -1.05453180e-02]
 [-1.05453180e-02  7.75068976e+03]]
rms error in linear fit: 3.2654925104762467

Null fit parameter: [60.09578213]
Null covariance matrix: 
[[0.04712052]]
rms error in null fit: 3.4439073001606415

chi-squared test statistic: 0.17772757120161015

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-06-03    3665   61.247146302625914    0.31731589711885566
1 2010-05-13    11843   60.37203677660424    0.28125088242337326
2 2013-10-23    14704   58.474232996769516    0.4603762930419985
3 2013-04-14    14942   58.98668511075663    0.8067578986933571
4 2013-07-27    15041   61.11198913832512    0.47469543502768086
5 2013-09-14    15043   60.79690581805253    0.47182599406401293
6 2013-10-04    15044   58.49807763154198    0.46040977320919824
7 2013-10-28    15045   59.63729081405406    0.42375209188557145
8 2014-03-14    16211   60.66126206852846    0.5463048393741063
9 2014-04-04    16212   60.39168386648611    0.42141715667840246
10 2014-04-28    16213   60.27955540792306    0.40087718922796856
11 2015-10-21    16964   60.67201817986897    0.5097260813466131
12 2015-05-14    16966   60.43417161334224    0.4782085525355481
13 2017-07-25    19704   58.93400226335546    0.31377110678179093
14 2018-04-24    20346   59.91055582756852    0.4246947162627644
15 2018-04-25    20347   60.296291164821575    0.39512657118600925
