Distance between R and A
------------------------------------------------

STATISTICS

Linear fit parameters: [2.11833335e-04 5.36931832e+01]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 6.45071676e-09 -4.73015041e-03]
 [-4.73015041e-03  3.46853443e+03]]
rms error in linear fit: 4.334607115739866

Null fit parameter: [209.02530877]
Null covariance matrix: 
[[0.04231274]]
rms error in null fit: 4.79405162819865

chi-squared test statistic: 0.08983601964779384

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-03-23    2952   208.8389398024028    0.7027785590668468
1 2002-05-25    3392   208.4795000312603    0.2660603393852471
2 2002-05-28    3393   208.37534203300132    0.2895015344786226
3 2002-05-24    3663   208.51587166951123    0.5555819760871802
4 2002-06-03    3665   208.5740409825328    0.37312638442647966
5 2005-07-24    5950   209.65785752842746    0.5220573271635087
6 2005-07-29    5952   206.91459594582903    0.4952721023692592
7 2005-07-30    5953   208.81899907250224    0.5957046257156169
8 2005-08-01    5954   207.6536614774707    0.7284672642543791
9 2006-10-29    6646   210.03595840311328    0.8488415162092713
10 2009-05-18    10556   209.89412454814635    0.28087675808118134
11 2010-05-13    11843   211.1153204934568    0.5920364476138711
12 2013-10-23    14704   207.27561512575846    0.582413702952848
13 2013-04-06    14941   208.54242855296783    0.8163868968991684
14 2014-04-28    16213   208.77921367939012    0.5809970855023413
15 2016-07-18    18732   210.2627982688917    0.4300345853763224
16 2017-07-15    19703   209.5082128718545    0.3339030140925663
17 2017-07-25    19704   209.19779510350017    0.4283568232096113
18 2017-04-06    19726   210.47631288662333    0.7144230357791945
19 2017-04-11    20041   210.100583297688    0.7312929280491615
20 2018-04-20    20344   209.6810034046662    0.6398176389999303
