Distance between R and B
------------------------------------------------

STATISTICS

Linear fit parameters: [5.63861911e-05 1.60439049e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 2.93799181e-09 -2.15458417e-03]
 [-2.15458417e-03  1.58008409e+03]]
rms error in linear fit: 1.9304815544628875

Null fit parameter: [201.79001285]
Null covariance matrix: 
[[0.01409099]]
rms error in null fit: 2.031822040594553

chi-squared test statistic: 0.01846838805593834

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   201.19075883920294    0.6992280912597315
1 2002-05-25    3392   201.85489471815973    0.37557385294459394
2 2002-05-28    3393   201.77686851173925    0.3455385804255989
3 2002-06-03    3665   201.33402069762374    0.4439919377484028
4 2004-07-06    4684   202.05301056285785    0.6446771492786212
5 2005-07-29    5952   200.82053967964086    0.5683795501730553
6 2005-07-30    5953   202.2599944797924    0.642861317682177
7 2009-05-18    10556   201.71888682680563    0.4388212828364431
8 2010-05-13    11843   203.0147990427188    0.6389331243159316
9 2013-08-11    15042   201.55756132296503    0.3857734811043495
10 2013-10-28    15045   202.31575232648962    0.6354701172633099
11 2014-08-02    16216   201.83284348745266    0.593389798083446
12 2016-07-18    18732   201.4292429157774    0.46610091945990784
13 2017-07-15    19703   202.30659314792723    0.4431940804670222
14 2017-07-25    19704   202.09417556024601    0.5634379959251075
