Distance between R and C
------------------------------------------------

STATISTICS

Linear fit parameters: [1.1157919e-05 1.9414308e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.03365131e-09 -7.58506391e-04]
 [-7.58506391e-04  5.56606449e+02]]
rms error in linear fit: 3.9702612622648368

Null fit parameter: [202.33090176]
Null covariance matrix: 
[[0.00478217]]
rms error in null fit: 3.9594750177867115

chi-squared test statistic: 0.0779037820325105

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   202.16071542323203    0.6689759546290158
1 2002-02-19    2951   202.51267713182307    0.8629429713718945
2 2002-03-23    2952   202.00250961044597    0.7411290674909394
3 2002-05-25    3392   202.24554343143572    0.24218459646686513
4 2002-05-28    3393   202.18067183793332    0.30242506128658264
5 2002-05-24    3663   202.81094097157091    0.567244279553778
6 2002-06-03    3665   202.45856657058954    0.3913576860608549
7 2004-07-05    4683   202.06173197764593    0.47392244145581114
8 2004-07-06    4684   202.0187083604271    0.39008989406566813
9 2005-07-24    5950   202.04907871543483    0.4357019205115779
10 2005-07-27    5951   203.02626544191028    0.5171036673518382
11 2005-07-29    5952   201.77361296153597    0.4110002218124168
12 2005-07-30    5953   202.8963033715236    0.4489922915775087
13 2006-07-17    6363   202.22451107528678    0.4032856186503598
14 2008-05-10    9171   201.44773043430615    0.8165852377377592
15 2008-07-26    9173   202.33341157002806    0.46924033299472595
16 2008-07-25    9174   203.82982413763162    0.7310572608707683
17 2009-05-18    10556   202.13609519666687    0.3430162802006005
18 2010-05-13    11843   203.55034735742038    0.7066440973569671
19 2011-03-29    13016   203.0743506406434    0.9170185490561423
20 2013-10-23    14704   201.6631853055066    0.491843966176106
21 2013-04-06    14941   201.47107873808665    1.03910130453325
22 2013-07-27    15041   202.07015330252446    0.5321861846002846
23 2013-08-11    15042   201.70967220958974    0.508048889639876
24 2013-09-14    15043   203.42619993711796    0.5202630308721264
25 2013-10-04    15044   202.93188902540362    0.644274088544873
26 2013-10-28    15045   201.9525674841262    0.6743109415130005
27 2014-03-14    16211   202.16860159442447    0.7369351374958227
28 2014-04-04    16212   203.3730196178905    0.7384716218469425
29 2014-04-28    16213   202.43631491207896    0.6217528790844002
30 2014-05-20    16214   201.99384742285164    0.633558600969105
31 2014-07-16    16215   203.0187288460796    0.8286414014762891
32 2014-08-02    16216   203.06902019459216    0.5053404697407115
33 2014-08-30    16217   202.26046635464826    0.5758331596679407
34 2014-02-21    16508   202.96933481009577    0.46812360284939813
35 2016-07-12    18731   202.4172589824178    0.26336444093849903
36 2016-07-18    18732   201.58765087003255    0.4074557766640438
37 2017-07-15    19703   202.62486748655752    0.3616325562105935
38 2017-07-25    19704   202.39465839512755    0.39369908658377456
39 2017-04-06    19726   201.65804834856505    0.9425530406528008
40 2017-04-11    20041   201.56424915749756    0.8161067379881805
41 2018-04-20    20344   202.54020276731012    0.8132656864024437
42 2018-04-25    20347   202.6183260559879    0.6992144826317074
43 2019-03-29    21453   201.96250998761562    0.6313826492606511
44 2019-03-30    21454   201.59833563846811    0.7314504903777153
45 2019-03-31    21455   202.73835686154146    0.7947663064170077
46 2019-04-01    21456   202.0379475698913    0.720483790770747
