Distance between R and D
------------------------------------------------

STATISTICS

Linear fit parameters: [1.51637270e-04 1.86067737e+01]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 3.89278079e-09 -2.85453172e-03]
 [-2.85453172e-03  2.09321553e+03]]
rms error in linear fit: 3.788018763090051

Null fit parameter: [129.80065553]
Null covariance matrix: 
[[0.02445192]]
rms error in null fit: 3.982105407056652

chi-squared test statistic: 0.11038236267952489

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   129.85122053042238    0.7174756550915863
1 2002-05-25    3392   129.2434933203773    0.21144663755628923
2 2002-05-28    3393   129.00045755293326    0.23026189270457365
3 2002-06-03    3665   130.06147952683557    0.3534579356901358
4 2004-07-05    4683   130.62173854164985    0.416410646944191
5 2004-07-06    4684   129.60067309078727    0.4197841890970527
6 2005-07-24    5950   129.2690370996487    0.30759709524500245
7 2005-07-27    5951   129.92233174561028    0.45460032332241684
8 2005-07-29    5952   129.73201601124097    0.4247100165626323
9 2006-07-17    6363   128.4801737098492    0.47375288821742967
10 2009-05-18    10556   131.22997415701425    0.38417579442441313
11 2010-05-13    11843   131.52839512543724    0.6634216127498335
12 2013-10-23    14704   130.21305147921387    0.31145280242144036
13 2014-05-20    16214   130.45942412318175    0.46340268361687614
14 2014-08-02    16216   130.48840202489126    0.4895606554439135
15 2016-07-12    18731   130.5351936379942    0.39756821279151233
16 2016-07-18    18732   128.87175198322    0.4135245967035048
17 2017-07-15    19703   130.56837435302063    0.34976635107334947
18 2017-07-25    19704   129.63817383142649    0.3482473899692365
19 2017-04-06    19726   130.5729759329369    0.6018199268597784
20 2018-04-20    20344   130.63057406011887    0.5943074929975617
21 2019-03-31    21455   130.9813563471737    0.7004992234357847
22 2019-04-01    21456   128.67225946747934    0.7970843613413703
