Distance between R and N
------------------------------------------------

STATISTICS

Linear fit parameters: [-7.41904207e-06  1.10791941e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 6.55810055e-10 -4.81659089e-04]
 [-4.81659089e-04  3.53756762e+02]]
rms error in linear fit: 3.37434972674939

Null fit parameter: [105.34303211]
Null covariance matrix: 
[[0.00263801]]
rms error in null fit: 3.3570872576879824

chi-squared test statistic: 0.10809136928484013

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   105.23823610720618    0.54090517497963
1 2002-02-19    2951   105.07501059465893    0.5855145507841737
2 2002-03-23    2952   104.61492094357209    0.6620813870152373
3 2002-05-25    3392   105.65487802346212    0.22806473915334846
4 2002-05-28    3393   105.47809992450749    0.19767616685837958
5 2002-05-24    3663   105.51280722857685    0.40747516193313943
6 2002-06-03    3665   105.12594325904809    0.2413243654579149
7 2004-07-05    4683   105.92978567218367    0.4561983295578206
8 2004-07-06    4684   105.33190189479743    0.34085107161924594
9 2005-07-24    5950   105.21129087828277    0.3580758228827473
10 2005-07-27    5951   105.51951621632941    0.5301248522207613
11 2005-07-29    5952   105.32987471960074    0.46212202390296864
12 2005-07-30    5953   105.31479780236656    0.37902094377724965
13 2005-08-01    5954   104.7714834418719    0.7051304378852039
14 2006-07-17    6363   104.27153928322913    0.6348283025246029
15 2009-05-18    10556   105.05064380436282    0.16522294040165575
16 2010-05-13    11843   105.89489363495107    0.2888079408467337
17 2011-03-29    13016   105.50013191825931    0.6160795632328508
18 2013-05-12    14702   105.4514366368298    0.6047899060499095
19 2013-06-04    14703   105.60929411910233    0.6050316397579323
20 2013-10-23    14704   105.21496840591774    0.26363928011680704
21 2013-04-06    14941   105.55168687434235    0.6502115588869694
22 2013-07-02    14946   104.50032494668591    0.5166751132793176
23 2013-07-27    15041   105.95535476266608    0.42605155975215164
24 2013-08-11    15042   105.41772210981678    0.2381761758088204
25 2013-09-14    15043   105.70877532282228    0.34873092172486225
26 2013-10-04    15044   104.50542361200424    0.42142729769451914
27 2013-10-28    15045   106.1778754109763    0.45165168627576135
28 2014-03-14    16211   105.94436078962987    0.4482432947363736
29 2014-04-04    16212   105.9838356604156    0.44521781428807367
30 2014-04-28    16213   105.3964467845926    0.415303088802743
31 2014-05-20    16214   105.42588159722744    0.2914969531053598
32 2014-07-16    16215   104.99068161404278    0.3172260664264798
33 2014-08-02    16216   105.7908821962162    0.38703349024173306
34 2014-08-30    16217   105.10749378612346    0.44990367374894774
35 2014-02-21    16508   105.3134073905459    0.20851585959791857
36 2016-02-13    18055   105.26856629840353    0.29059815342084366
37 2016-07-12    18731   105.2213172546943    0.1788079368621917
38 2016-07-18    18732   105.18253232939382    0.23012582181811228
39 2017-07-15    19703   105.49213683012836    0.17923105316455692
40 2017-07-25    19704   105.10958752811814    0.23209688589274338
41 2017-04-06    19726   106.22563026345858    0.4475219902664409
42 2017-04-11    20041   105.85594847508736    0.45685224351739406
43 2018-04-20    20344   104.89592730702216    0.44032266299904277
44 2018-04-25    20347   104.9426793579397    0.33734809272438715
45 2019-03-29    21453   105.62804913597829    0.5924501356448288
46 2019-03-30    21454   104.0945380693552    0.47867350054006474
47 2019-03-31    21455   106.01024677219391    0.5901757477087496
48 2019-04-01    21456   106.14517063344599    0.6631983713144657
