Distance between S and C
------------------------------------------------

STATISTICS

Linear fit parameters: [-1.31298887e-04  4.16617987e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 2.22888946e-09 -1.63599047e-03]
 [-1.63599047e-03  1.20081778e+03]]
rms error in linear fit: 2.4682300546179863

Null fit parameter: [320.245452]
Null covariance matrix: 
[[0.01517279]]
rms error in null fit: 2.8393163543628144

chi-squared test statistic: 0.019034371088256945

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-25    3392   320.2696171251097    0.45351523898081647
1 2002-05-28    3393   320.63626443670785    0.5043909536104497
2 2002-06-03    3665   321.5313394340389    0.6200410615878382
3 2004-07-05    4683   320.67529600846666    0.6109601964516556
4 2005-07-24    5950   320.197115209411    0.6221752242748457
5 2005-07-27    5951   320.8636898865787    0.6449084145019748
6 2005-07-30    5953   320.7707354361669    0.6081814655382658
7 2006-07-17    6363   320.24864507654166    0.4802280683196373
8 2009-05-18    10556   320.0542849386505    0.5292232470782561
9 2013-09-20    14944   319.7136027412355    0.6239336397824964
10 2014-04-04    16212   319.8943384178958    0.6379042415347094
11 2014-08-02    16216   320.64885549932944    0.6226646020166223
12 2014-08-30    16217   319.98909991201225    0.6798854306908698
13 2016-07-18    18732   319.73977749457606    0.5478053121063085
14 2017-07-15    19703   319.883783902958    0.5171756959619205
15 2017-07-25    19704   319.6869034141364    0.48110192294365745
16 2017-04-06    19726   318.6630439124995    0.8367933116306109
17 2017-04-11    20041   319.40111176506383    0.8567636803207707
18 2018-04-25    20347   321.09961460581053    0.6743871448869069
19 2019-03-30    21454   320.2977092407543    0.8478147197471393
20 2019-03-31    21455   320.54671909304454    0.8790195693506828
