Distance between S and D
------------------------------------------------

STATISTICS

Linear fit parameters: [-3.21609144e-05  2.75439595e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 9.66270495e-09 -7.08762540e-03]
 [-7.08762540e-03  5.19884970e+03]]
rms error in linear fit: 3.2230511724853144

Null fit parameter: [251.84946039]
Null covariance matrix: 
[[0.04981459]]
rms error in null fit: 3.220037328106371

chi-squared test statistic: 0.041247084122771754

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-25    3392   251.42966429906667    0.4110930593913056
1 2002-05-28    3393   251.5881288660226    0.41833625589559403
2 2002-06-03    3665   252.99026861255763    0.5662810198157484
3 2004-07-05    4683   253.3339237064873    0.5826733763269608
4 2005-07-24    5950   251.4237546283809    0.5018301923954213
5 2005-07-27    5951   252.16823800812867    0.604482129477758
6 2006-07-17    6363   250.51825477939562    0.551057776657601
7 2009-05-18    10556   253.19254416744482    0.5730178472332599
8 2014-08-02    16216   252.2311557168277    0.6518945904618971
9 2016-07-18    18732   251.2759144389115    0.5580654605575398
10 2017-07-15    19703   252.05831005162923    0.49631444289990534
11 2017-07-25    19704   250.86946991677667    0.4610327681293288
12 2017-04-06    19726   251.93879376245303    0.5532432673606917
13 2019-03-31    21455   252.9779946158595    0.8469850301141273
