Distance between S and E
------------------------------------------------

STATISTICS

Linear fit parameters: [-1.23791581e-04  3.04579399e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 2.82635195e-09 -2.07469675e-03]
 [-2.07469675e-03  1.52295601e+03]]
rms error in linear fit: 2.5512504985747606

Null fit parameter: [213.70961511]
Null covariance matrix: 
[[0.01900038]]
rms error in null fit: 3.0385429729492768

chi-squared test statistic: 0.030445369387089995

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-25    3392   213.64570899603152    0.39640228257229126
1 2002-05-28    3393   213.7712080845481    0.4061531919764907
2 2002-06-03    3665   215.6099765596437    0.6252527144390361
3 2004-07-05    4683   214.62841038194207    0.5250212298210091
4 2005-07-24    5950   213.71511101037603    0.5033360905959557
5 2005-07-27    5951   213.517627320272    0.49773523044038365
6 2005-07-30    5953   214.2394951905578    0.5585857533827976
7 2009-05-18    10556   214.17418511294323    0.4477362198978057
8 2014-04-04    16212   213.36415579929712    0.42485471608503195
9 2014-08-02    16216   213.16961155218266    0.6266682851385017
10 2014-08-30    16217   212.21584430172138    0.7034506157493842
11 2016-07-18    18732   213.87376393427365    0.42157869725956937
12 2017-07-15    19703   213.50576951020167    0.4254807582834219
13 2017-07-25    19704   213.08703936677523    0.499836650567804
14 2017-04-06    19726   213.77260318518447    0.6146397945521241
15 2017-04-11    20041   212.72830007846412    0.7865555971415089
16 2018-04-25    20347   213.52062249358218    0.5846093228317462
17 2019-03-30    21454   213.75702279450473    0.7055955485851843
18 2019-03-31    21455   213.3455936828564    0.8179156411515429
