Distance between S and H
------------------------------------------------

STATISTICS

Linear fit parameters: [1.10259930e-04 7.96811245e+01]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.44655020e-08 -1.06189648e-02]
 [-1.06189648e-02  7.79533340e+03]]
rms error in linear fit: 3.7460569047585324

Null fit parameter: [160.62171798]
Null covariance matrix: 
[[0.06818674]]
rms error in null fit: 3.9117124003624526

chi-squared test statistic: 0.08735513661239822

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-25    3392   158.89311572479022    0.4370300380258617
1 2002-05-28    3393   161.31693276623903    0.43481757854450526
2 2002-06-03    3665   159.97457410044413    0.5584263374247551
3 2005-07-24    5950   160.73299990683273    0.5157390812320299
4 2005-07-27    5951   161.51709404212312    0.48056263908870406
5 2005-07-30    5953   159.5909283374322    0.5815974077721293
6 2009-05-18    10556   160.791669260016    0.45931652743916856
7 2013-09-20    14944   159.34381548448195    0.6038174176910226
8 2014-04-04    16212   160.64593446811287    0.37760151571965456
9 2014-08-02    16216   162.4016135486102    0.5068295600672797
10 2014-08-30    16217   160.17899963764765    0.6039632287801201
11 2016-07-18    18732   160.12197496475795    0.47287955938431536
12 2017-07-25    19704   159.9685581996034    0.3845144109333071
13 2017-04-06    19726   161.3010870455087    0.4862524833648231
14 2018-04-25    20347   162.45754601202734    0.5198191156317442
