Distance between S and I
------------------------------------------------

STATISTICS

Linear fit parameters: [8.94720101e-05 8.11905418e+01]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 6.14840414e-09 -4.51361993e-03]
 [-4.51361993e-03  3.31354187e+03]]
rms error in linear fit: 3.050787808393999

Null fit parameter: [146.87305789]
Null covariance matrix: 
[[0.03811484]]
rms error in null fit: 3.092589155706094

chi-squared test statistic: 0.06332798352776019

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-25    3392   146.1577125305388    0.40528732313858135
1 2002-05-28    3393   147.0261631354974    0.4023184053154894
2 2002-06-03    3665   147.07303644431292    0.5250856840017378
3 2004-07-05    4683   147.49676166518796    0.43206991631532093
4 2005-07-24    5950   145.9442116373818    0.497123791512678
5 2005-07-27    5951   145.8223485228668    0.4654931879339357
6 2005-07-30    5953   146.7801555452073    0.5344770356972668
7 2009-05-18    10556   146.43507248361914    0.4248835009721549
8 2016-07-18    18732   148.19820206407925    0.4681548055677816
9 2017-07-15    19703   146.46636846878317    0.3706405874665106
10 2017-07-25    19704   147.66137221061328    0.3654568070702923
11 2017-04-06    19726   148.3490916878053    0.4805134567740928
12 2017-04-11    20041   146.2055744168102    0.6230109262696547
13 2018-04-25    20347   146.90938242807667    0.465875400734963
14 2019-03-30    21454   145.7542277465108    0.6280560198048178
15 2019-03-31    21455   146.76085761037672    0.6215953376830667
