Distance between S and K
------------------------------------------------

STATISTICS

Linear fit parameters: [-4.75500957e-05  1.80469578e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 4.22918822e-09 -3.10543860e-03]
 [-3.10543860e-03  2.28030484e+03]]
rms error in linear fit: 2.9825729454374974

Null fit parameter: [145.55415301]
Null covariance matrix: 
[[0.02067007]]
rms error in null fit: 2.9736602551011613

chi-squared test statistic: 0.06111619699758815

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-25    3392   145.40600873549175    0.43405682791628397
1 2002-05-28    3393   146.03492969576578    0.4503411826347622
2 2002-06-03    3665   146.6896782468407    0.5882670728227083
3 2004-07-05    4683   146.75991510306747    0.45929382986286116
4 2005-07-24    5950   144.71863868064224    0.514584493504854
5 2005-07-27    5951   145.0647958748735    0.5397634960180785
6 2005-07-30    5953   145.03404866182538    0.6195031438919455
7 2006-07-17    6363   145.42667891173525    0.5091276338228604
8 2009-05-18    10556   145.63372944259115    0.46562877223329946
9 2013-09-20    14944   145.87478135311102    0.6018941168451534
10 2014-04-04    16212   145.0182563818205    0.39840893471524513
11 2014-08-02    16216   145.5612212780345    0.5064034376746195
12 2014-08-30    16217   144.81149278150127    0.6289390988095169
13 2016-07-18    18732   144.85686952563432    0.4683440571277685
14 2017-07-15    19703   144.93764795711496    0.41147828544817944
15 2017-07-25    19704   145.27468468301436    0.3808759045021685
16 2017-04-06    19726   146.81154399100723    0.5116597428196701
17 2017-04-11    20041   145.83261249485153    0.736859479037867
18 2018-04-25    20347   146.43562064890835    0.5507721721792714
19 2019-03-30    21454   145.32686186012316    0.6906089363179687
20 2019-03-31    21455   146.04654713505641    0.6764624588423856
