Distance between S and L
------------------------------------------------

STATISTICS

Linear fit parameters: [-1.13337299e-04  2.25611380e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 6.51403719e-09 -4.78037703e-03]
 [-4.78037703e-03  3.50814800e+03]]
rms error in linear fit: 2.982355918506285

Null fit parameter: [142.43791785]
Null covariance matrix: 
[[0.03289637]]
rms error in null fit: 3.063825675086599

chi-squared test statistic: 0.06246360809131588

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-25    3392   142.42374630430308    0.48811403508306167
1 2002-05-28    3393   143.6273255014962    0.4943661431715516
2 2002-06-03    3665   142.16992841319288    0.6246622075798056
3 2004-07-05    4683   142.07668893436983    0.5320618500331247
4 2005-07-24    5950   142.66693133235935    0.592494125590655
5 2005-07-27    5951   141.9527584215412    0.5949796605769138
6 2005-07-30    5953   142.88290418529317    0.6858153057456574
7 2006-07-17    6363   143.88491531646534    0.5987488762021224
8 2009-05-18    10556   142.345199894087    0.5315917324123881
9 2013-08-31    14945   140.87229314867076    0.6561684613711853
10 2014-04-04    16212   142.74845676165032    0.45489916447597833
11 2014-08-02    16216   142.45567030857967    0.5794302982656169
12 2014-08-30    16217   142.9026954625267    0.6829897152627732
13 2016-07-18    18732   142.357911141198    0.5500775866139258
14 2017-07-15    19703   141.0968535796561    0.48491366505017414
15 2017-07-25    19704   142.23151526621598    0.44315828854169415
16 2019-03-31    21455   143.19302628892655    0.7550552292526711
