Distance between S and N
------------------------------------------------

STATISTICS

Linear fit parameters: [-1.41990273e-04  2.81927669e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 2.39509965e-09 -1.75953023e-03]
 [-1.75953023e-03  1.29262791e+03]]
rms error in linear fit: 2.366391048417873

Null fit parameter: [177.61627624]
Null covariance matrix: 
[[0.01471377]]
rms error in null fit: 2.6573108280669904

chi-squared test statistic: 0.03152512582249859

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-25    3392   177.92159925950318    0.5331897054279602
1 2002-05-28    3393   178.25905115496317    0.5286243665515531
2 2002-06-03    3665   178.98024487291698    0.6317051291660244
3 2004-07-05    4683   178.7567318337539    0.6204528536575756
4 2005-07-24    5950   177.63344513849708    0.5991863850031826
5 2005-07-27    5951   177.26266163497232    0.7326688310546594
6 2005-07-30    5953   177.64417848372923    0.6578430135562873
7 2006-07-17    6363   177.2841568050182    0.8518817381414621
8 2009-05-18    10556   177.8068172559293    0.4415152444004373
9 2013-09-20    14944   177.6100374502757    0.6597668680769975
10 2013-08-31    14945   177.46500357184553    0.5557128898776852
11 2014-04-04    16212   177.0649096110528    0.46364165571856186
12 2014-08-02    16216   177.96953102415307    0.5304155956366675
13 2014-08-30    16217   177.49250635590226    0.7073543882267317
14 2016-07-18    18732   177.1121548677709    0.4866984574716311
15 2017-07-15    19703   176.74140486772222    0.43726067342397595
16 2017-07-25    19704   177.26684875015985    0.3854980850905845
17 2017-04-06    19726   177.38702151081966    0.44490462362846983
18 2017-04-11    20041   177.61776244729694    0.7660522269070584
19 2018-04-25    20347   178.33900695653045    0.5210852912086201
20 2019-03-30    21454   176.89594342783153    0.7637895021504558
21 2019-03-31    21455   178.2633401054497    0.7611685648238069
