Distance between S and R
------------------------------------------------

STATISTICS

Linear fit parameters: [-1.37199445e-04  2.23279440e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.87696100e-09 -1.37752751e-03]
 [-1.37752751e-03  1.01099637e+03]]
rms error in linear fit: 2.1739266991288613

Null fit parameter: [122.58688041]
Null covariance matrix: 
[[0.01471425]]
rms error in null fit: 2.2894957746056583

chi-squared test statistic: 0.03864098143434633

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-25    3392   122.80916388366731    0.38564573517148104
1 2002-05-28    3393   123.193641697287    0.3987513324176412
2 2002-06-03    3665   123.33516539871962    0.5100606846711444
3 2004-07-05    4683   123.28806141710838    0.46975237151178034
4 2005-07-24    5950   122.74802106879756    0.49346206831516287
5 2005-07-27    5951   122.94422712397314    0.4819577900443708
6 2005-07-30    5953   122.62267164618869    0.6199517393739031
7 2006-07-17    6363   122.47885321726618    0.42910081609119094
8 2009-05-18    10556   122.43359892647723    0.4467072150592164
9 2014-04-04    16212   121.527770760244    0.5033709730174959
10 2014-08-02    16216   122.25924562378762    0.5531833445058849
11 2014-08-30    16217   122.26894664018342    0.6396840472535482
12 2016-07-18    18732   123.09348024272659    0.4833222906819842
13 2017-07-15    19703   122.14558271806129    0.37252367727802044
14 2017-07-25    19704   121.72083642926744    0.38638732064657294
15 2017-04-06    19726   122.03384797264222    0.6098419115169688
16 2017-04-11    20041   122.80538776984639    0.8713842232756086
17 2018-04-25    20347   122.7572842092876    0.6296160207496388
18 2019-03-30    21454   123.40439810903271    0.7900690295637238
19 2019-03-31    21455   122.58453759959373    0.8225126145093888
