Distance between T and C
------------------------------------------------

STATISTICS

Linear fit parameters: [-6.70069155e-05  3.90530881e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.21014566e-09 -8.88678966e-04]
 [-8.88678966e-04  6.52613361e+02]]
rms error in linear fit: 3.7398520257114605

Null fit parameter: [341.32388221]
Null covariance matrix: 
[[0.00608766]]
rms error in null fit: 3.8315205965635086

chi-squared test statistic: 0.04098000997554502

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   341.05108685091386    0.753331578683616
1 2002-04-19    2953   340.89531303428026    0.8604917712872516
2 2002-05-25    3392   341.45778426268754    0.36212751153472783
3 2002-05-28    3393   341.4839868301437    0.4061696752585523
4 2002-05-24    3663   342.3466846633685    0.7425042700006488
5 2002-06-03    3665   341.50507378455274    0.5302394156735826
6 2004-07-05    4683   341.4592584200233    0.5514606237297088
7 2004-07-06    4684   341.15221738710494    0.5733439362579653
8 2005-07-24    5950   342.10058405363867    0.6816640797598084
9 2005-07-27    5951   342.52417081652203    0.7859950955390957
10 2005-07-30    5953   341.27218839642325    0.4150495881798181
11 2006-07-17    6363   342.03417284196536    0.6786038273736591
12 2008-05-05    9169   341.5423834477611    0.7318200641022996
13 2008-05-11    9172   341.1727507361145    0.6493879926970817
14 2009-05-18    10556   341.04790082164726    0.5804532564099519
15 2010-05-13    11843   341.71423386163644    0.690080202543894
16 2011-03-29    13016   340.5056739741156    1.012992518659841
17 2013-04-06    14941   341.3604546922893    0.9174032003474736
18 2013-07-27    15041   341.56898727423317    0.5481044318198949
19 2013-08-11    15042   341.25182915260706    0.538573657729371
20 2013-09-14    15043   340.88696300708864    0.6015097227392379
21 2013-10-04    15044   342.17169420918265    0.708787548275631
22 2014-03-14    16211   341.4520335107626    0.8008019811984058
23 2014-04-04    16212   341.4833749601625    0.6571731694822401
24 2014-04-28    16213   340.54308398135373    0.5762032737923397
25 2014-05-20    16214   341.2289122839609    0.6398084807952755
26 2014-07-16    16215   342.7776327109811    0.955681067955358
27 2014-10-20    16218   340.6485662314637    0.612164445481691
28 2014-02-21    16508   342.4943996789109    0.541550622515623
29 2015-02-13    16963   341.3263120580636    0.5246686209210654
30 2016-07-12    18731   341.2042108856912    0.34679120935845525
31 2016-07-18    18732   340.83437659164497    0.39268320799721024
32 2017-07-15    19703   341.8111326091555    0.5168461312685476
33 2017-07-25    19704   340.6250022274942    0.40714647488446976
34 2017-04-06    19726   340.9689057997035    0.9006615303555646
35 2017-04-07    19727   340.1746453222765    0.7924379535835067
36 2017-04-12    20040   342.0712773479652    0.9361551919528198
37 2017-04-11    20041   340.4892793544086    0.6690551292714332
38 2018-04-25    20347   341.4307708601819    0.6960392728072397
39 2019-03-29    21453   341.2747499068338    0.5957440801878277
40 2019-03-30    21454   340.9994380471953    0.6369587887754248
41 2019-03-31    21455   341.01724057197106    0.6085338309781623
42 2019-04-01    21456   341.8349697109221    0.695626242529108
