Distance between T and D
------------------------------------------------

STATISTICS

Linear fit parameters: [6.15514377e-06 2.71149647e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 4.16307103e-09 -3.05518128e-03]
 [-3.05518128e-03  2.24215072e+03]]
rms error in linear fit: 3.3455267547000833

Null fit parameter: [275.66676414]
Null covariance matrix: 
[[0.02300105]]
rms error in null fit: 3.343314989387415

chi-squared test statistic: 0.04060107117143369

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   275.573476863322    0.8918918801742447
1 2002-05-25    3392   275.197803427601    0.36997014984027077
2 2002-05-28    3393   275.07004994347625    0.375062867471316
3 2002-06-03    3665   275.77032160534014    0.5518154742441141
4 2004-07-05    4683   276.7694805793182    0.5683302572727225
5 2004-07-06    4684   275.5644218715573    0.6685761943305072
6 2005-07-24    5950   276.03483581713687    0.6162747396718334
7 2005-07-27    5951   276.2273950160331    0.8024163162333768
8 2006-07-17    6363   275.1158436380512    0.8259283936046481
9 2008-05-05    9169   276.47029946052373    0.7316849760288988
10 2009-05-18    10556   276.7685345804749    0.6802874500888513
11 2010-05-13    11843   276.5676891098616    0.7066598150533845
12 2014-05-20    16214   276.4815267547976    0.5405277778395768
13 2014-10-20    16218   275.5002426142955    0.7614544660137632
14 2016-10-08    18057   276.15483959854055    0.889142912390486
15 2016-07-12    18731   276.04961975377205    0.5274759856776482
16 2016-07-18    18732   274.77617551189434    0.46304192457770854
17 2017-07-15    19703   276.46571685417234    0.5464869888396165
18 2017-07-25    19704   274.3770065435292    0.42616440929958244
19 2017-04-06    19726   276.5624009799833    0.6714532105588534
20 2017-04-07    19727   274.8060697579255    0.9753831972755965
21 2017-04-12    20040   275.66226168284913    0.859303407841381
22 2019-03-31    21455   276.04074107745237    0.6454449461234703
23 2019-04-01    21456   275.3889190390435    0.8959583586712866
