Distance between T and E
------------------------------------------------

STATISTICS

Linear fit parameters: [-7.91621075e-05  2.95586640e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 2.02757997e-09 -1.48921818e-03]
 [-1.48921818e-03  1.09381088e+03]]
rms error in linear fit: 4.058830750396386

Null fit parameter: [237.44360636]
Null covariance matrix: 
[[0.00950736]]
rms error in null fit: 4.2747327182802115

chi-squared test statistic: 0.06940024495742762

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   237.6131315347746    0.8590957749632422
1 2002-05-25    3392   237.53212078140785    0.35840668676727616
2 2002-05-28    3393   237.42320277977367    0.3655559981378999
3 2002-05-24    3663   237.175663040927    0.7895066677242245
4 2002-06-03    3665   238.46403830486153    0.6176604748350238
5 2004-07-05    4683   238.14697224100442    0.5114829684003585
6 2004-07-06    4684   237.29184313198238    0.5038156582545202
7 2005-07-24    5950   238.47255054228594    0.6176841331638029
8 2005-07-27    5951   237.6199878248074    0.6919518127194197
9 2005-07-30    5953   237.30720868095776    0.4195093333720352
10 2009-05-18    10556   237.80219562241734    0.549606248388082
11 2010-05-13    11843   237.03761153429974    0.48479292695013065
12 2011-03-29    13016   236.3932633701936    1.265110200369541
13 2013-07-27    15041   238.02559758530725    0.5380728240449593
14 2013-08-11    15042   237.85578439623637    0.42410746714384684
15 2013-09-14    15043   236.93516321718468    0.5616810770658339
16 2013-10-04    15044   238.03394987752532    0.5167970507174351
17 2014-03-14    16211   238.2370432316241    0.6753333276160038
18 2014-04-04    16212   237.72390541840514    0.5013811766193254
19 2014-04-28    16213   236.01548589024137    0.6029131075589221
20 2014-05-20    16214   237.74666575712575    0.4600839918809611
21 2014-07-16    16215   237.8690133003419    0.5693420259154011
22 2014-10-20    16218   237.30840985702864    0.4937601020853357
23 2014-02-21    16508   237.97756068675986    0.512938233821755
24 2016-10-08    18057   237.12925602400935    0.7575190542037237
25 2016-07-12    18731   236.49912331428388    0.4021533163656527
26 2016-07-18    18732   237.53924784694848    0.3169067361735384
27 2017-07-15    19703   238.0323730744295    0.4812135135605262
28 2017-07-25    19704   236.6156032261996    0.4755796094877728
29 2017-04-06    19726   238.47563604028048    0.7422639525522308
30 2017-04-07    19727   235.67050807063174    0.9680549959327576
31 2017-04-12    20040   237.96614804859828    0.7240104117380903
32 2017-04-11    20041   236.49542401313334    0.7012865009860729
33 2018-04-25    20347   236.6927425146696    0.6937774497379845
34 2019-03-29    21453   236.7814269284559    0.7500721034448874
35 2019-03-30    21454   236.90750417431104    0.5682366628042285
36 2019-03-31    21455   236.47237040526622    0.6139963727913664
37 2019-04-01    21456   237.56478410564984    0.7155269713518274
