Distance between T and H
------------------------------------------------

STATISTICS

Linear fit parameters: [1.36666443e-04 7.90020872e+01]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.08941687e-08 -7.99548190e-03]
 [-7.99548190e-03  5.86811944e+03]]
rms error in linear fit: 6.417607011939458

Null fit parameter: [179.30474386]
Null covariance matrix: 
[[0.05208617]]
rms error in null fit: 6.659361754388784

chi-squared test statistic: 0.22979784668761372

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   177.82608694521585    0.6382267620129112
1 2002-05-25    3392   177.8250632557544    0.3211798892726161
2 2002-05-28    3393   179.942948210718    0.3162098808851004
3 2002-05-24    3663   181.1911360220754    0.5885283439212945
4 2002-06-03    3665   177.48552335902835    0.43881723635249376
5 2004-07-06    4684   177.74914377862012    0.4894254005988302
6 2005-07-24    5950   180.3342394334436    0.5774373085531243
7 2005-07-27    5951   181.2096394049057    0.6154840819938646
8 2005-07-30    5953   177.95525161785278    0.363346790101144
9 2006-07-04    6642   178.39175658678926    0.8951143155345548
10 2008-05-05    9169   180.77723362681624    0.5824463470733995
11 2008-05-11    9172   180.4224839976548    0.5770950219212968
12 2009-05-18    10556   179.57880456431155    0.4928377825110579
13 2011-03-29    13016   179.57520005872473    0.7418457257244442
14 2013-04-06    14941   181.06632411758622    0.5620792259682226
15 2013-04-14    14942   181.2577011812451    0.9138043575603654
16 2013-10-04    15044   181.1344435722373    0.4620276246112652
17 2014-04-04    16212   180.10849968043178    0.3975105090056831
18 2014-04-28    16213   178.65578899249346    0.4480057994207676
19 2014-05-20    16214   178.8747180721561    0.3427052269925776
20 2014-10-20    16218   178.5515170093307    0.5525242479971847
21 2015-10-21    16964   179.54365296544609    0.5102077136756791
22 2016-07-18    18732   179.13886571658105    0.294266099174081
23 2017-07-25    19704   178.62840997823037    0.3105164473437761
24 2017-04-06    19726   181.62136698647947    0.5682151639112089
25 2017-04-12    20040   179.56793636224268    0.6615841199338228
26 2018-04-25    20347   180.4468971106411    0.5316351259445534
