Distance between T and I
------------------------------------------------

STATISTICS

Linear fit parameters: [1.07010904e-04 8.76278525e+01]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 3.63759430e-09 -2.67148679e-03]
 [-2.67148679e-03  1.96198878e+03]]
rms error in linear fit: 4.5256518532101415

Null fit parameter: [166.21776443]
Null covariance matrix: 
[[0.02282922]]
rms error in null fit: 4.750436819598907

chi-squared test statistic: 0.12310354582666833

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   165.4662794464634    0.6063218747803837
1 2002-05-07    2954   166.4181670088771    0.524608043069578
2 2002-05-25    3392   165.6727534491908    0.28915032309399863
3 2002-05-28    3393   166.18945519132748    0.28210905260114677
4 2002-05-24    3663   166.23686601747866    0.6067715175679915
5 2002-06-03    3665   165.19841920361011    0.4039340809438766
6 2004-07-05    4683   166.54864108234463    0.38303197164194025
7 2004-07-06    4684   165.52375269705846    0.40765053509914045
8 2005-07-24    5950   166.11672723250092    0.5503244726577395
9 2005-07-27    5951   165.96371541827205    0.59357007785977
10 2005-07-30    5953   165.7074510167127    0.3176472073684731
11 2005-08-01    5954   165.69978415224614    0.6852389858222795
12 2009-05-18    10556   165.74539153948365    0.45792669060506297
13 2013-04-06    14941   166.11832409460408    0.6473925868654705
14 2013-04-14    14942   167.09388239500413    0.8611088106236559
15 2013-09-14    15043   165.40413004080776    0.37088616560113274
16 2014-10-20    16218   165.5785056816913    0.430895318793881
17 2016-02-13    18055   165.881630197806    0.3167221068161021
18 2016-10-08    18057   166.63782302496634    0.6062724602322661
19 2016-07-12    18731   167.29177105558117    0.3082313556883681
20 2016-07-18    18732   167.76449681659602    0.2895061133604254
21 2017-07-15    19703   166.81852680896665    0.35329760806470883
22 2017-07-25    19704   166.9355454446921    0.28665440375433715
23 2017-04-06    19726   169.22612657285936    0.5483329921208657
24 2017-04-07    19727   166.64924451448135    0.6614991203934841
25 2017-04-12    20040   167.09757996415723    0.5935620206650521
26 2017-04-11    20041   165.6376707394137    0.39566537189709866
27 2018-04-25    20347   165.42521757424    0.47476004825128554
28 2019-03-29    21453   166.05767257020062    0.3879418203601094
29 2019-03-30    21454   165.06060717100613    0.38393214097755174
30 2019-03-31    21455   165.66330943657448    0.3606089026876961
