Distance between T and K
------------------------------------------------

STATISTICS

Linear fit parameters: [7.96889622e-06 1.58078872e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.68866449e-09 -1.24045385e-03]
 [-1.24045385e-03  9.11216036e+02]]
rms error in linear fit: 4.770029811659366

Null fit parameter: [163.9326376]
Null covariance matrix: 
[[0.00719167]]
rms error in null fit: 4.781270632771208

chi-squared test statistic: 0.13879172688866667

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   163.55972775384922    0.6135974010820565
1 2002-04-19    2953   163.98440968981356    0.7111066600447274
2 2002-05-07    2954   163.90659205817866    0.5392918336944489
3 2002-05-25    3392   163.8191795499461    0.31192096831892774
4 2002-05-28    3393   164.0687975174939    0.32381721834567945
5 2002-05-24    3663   164.41077170653105    0.6005486834164856
6 2002-06-03    3665   163.6445457763642    0.45892054240773833
7 2004-07-05    4683   164.7208746772082    0.4207306743319528
8 2004-07-06    4684   163.68683748499018    0.47127269922317205
9 2005-07-24    5950   163.70284654861067    0.5733259029238641
10 2005-07-27    5951   164.19389177071048    0.6664507272328941
11 2005-07-30    5953   162.97716438565877    0.38841286092377947
12 2006-07-17    6363   164.25046657516793    0.6668921378334449
13 2008-05-05    9169   163.12322595937061    0.6065900056956154
14 2008-05-11    9172   164.5460518315443    0.5901286549710703
15 2009-05-18    10556   163.86155825185975    0.492439851494065
16 2010-05-13    11843   164.0463904633246    0.427236023487401
17 2011-03-29    13016   162.15525954752934    0.7311764270737398
18 2013-04-06    14941   164.55318622217035    0.586412614556216
19 2013-04-14    14942   165.43633370900713    0.9065242398260629
20 2013-07-27    15041   163.79150444284076    0.39838618398912823
21 2013-08-11    15042   164.2126337300421    0.36400034117132923
22 2013-09-14    15043   163.39711718848102    0.4758397100425818
23 2013-10-04    15044   164.7391104129076    0.44580945224002644
24 2014-03-14    16211   165.00601511968517    0.5254245244547754
25 2014-04-04    16212   163.92078981896555    0.4126462151644836
26 2014-04-28    16213   162.99037578546805    0.4345070153908295
27 2014-05-20    16214   164.1387669476168    0.33077396477331494
28 2014-07-16    16215   164.28852622734854    0.45472007774952855
29 2014-02-21    16508   164.14726649756633    0.3709404111601386
30 2015-02-13    16963   164.04774894681194    0.5086452042038346
31 2015-10-21    16964   164.12453941770298    0.5390992749933184
32 2016-02-13    18055   163.90548314651622    0.43957536190440566
33 2016-10-08    18057   164.60737451047115    0.7754378496914252
34 2016-07-12    18731   163.90290069832344    0.3291300096426306
35 2016-07-18    18732   163.38216168060154    0.28202159212448275
36 2017-07-15    19703   164.18610564808125    0.3910961193237149
37 2017-07-25    19704   163.3878845571816    0.3032772975984317
38 2017-04-06    19726   166.55274186231122    0.5926663008625659
39 2017-04-07    19727   162.99269534848455    0.6793321854482062
40 2017-04-12    20040   164.35312970471998    0.6958756300145718
41 2017-04-11    20041   164.25460292974128    0.49337452962809847
42 2018-04-25    20347   163.70034298487755    0.5509482079409607
43 2019-03-29    21453   163.6627400247936    0.44604048648789935
44 2019-03-30    21454   163.59087804230592    0.4349871855322179
45 2019-03-31    21455   163.7493647715616    0.4251017464572925
46 2019-04-01    21456   164.89998003957902    0.5812705523073558
