Distance between T and L
------------------------------------------------

STATISTICS

Linear fit parameters: [3.33896304e-05 1.35169738e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 5.50980846e-09 -4.04565572e-03]
 [-4.04565572e-03  2.97060724e+03]]
rms error in linear fit: 4.6529128740548416

Null fit parameter: [159.6865513]
Null covariance matrix: 
[[0.02581073]]
rms error in null fit: 4.665163955206119

chi-squared test statistic: 0.13558057985898286

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   160.3633775226597    0.7015021690962336
1 2002-05-25    3392   159.65202252040243    0.35875759890025344
2 2002-05-28    3393   160.44589685328438    0.36278917447091125
3 2002-05-24    3663   159.4341404433243    0.6488285302073195
4 2002-06-03    3665   157.94709320815636    0.48790305213168944
5 2004-07-05    4683   158.87707153467005    0.49521930400480824
6 2005-07-24    5950   160.326824462597    0.6541128654927852
7 2005-07-27    5951   159.95354198011015    0.7153512059069537
8 2005-07-30    5953   159.58525863307247    0.44929023784817007
9 2006-07-17    6363   161.42873514488815    0.7460360713063897
10 2009-05-18    10556   159.46393720983065    0.5520368725540964
11 2010-05-13    11843   158.29330666210896    0.49637322770532916
12 2013-07-27    15041   158.90437862752168    0.47442387734874664
13 2013-08-11    15042   159.57321860556334    0.4404821275785697
14 2014-04-04    16212   160.4794604903615    0.4650528103812252
15 2014-05-20    16214   159.2566577581598    0.4214107203926048
16 2014-07-16    16215   160.97902428098803    0.5536757556688828
17 2014-10-20    16218   157.98455655553943    0.6227739418052685
18 2014-02-21    16508   160.6354236881101    0.44575334543792827
19 2016-10-08    18057   160.64433498653193    0.8914707831209191
20 2016-07-12    18731   160.4453943301034    0.38554539737033117
21 2016-07-18    18732   159.69576936678823    0.3521091330003574
22 2017-07-15    19703   159.1895110687848    0.4581338605102666
23 2017-07-25    19704   159.10838247217805    0.363667064673344
24 2017-04-07    19727   159.13022427883996    0.7778017200970001
25 2019-03-29    21453   161.16146354450083    0.5194566975216648
26 2019-03-31    21455   159.70977236500232    0.5112338032659223
