Distance between T and Magnetar
------------------------------------------------

STATISTICS

Linear fit parameters: [-3.17488781e-04  3.95879276e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 2.20758935e-08 -1.62434388e-02]
 [-1.62434388e-02  1.19519274e+04]]
rms error in linear fit: 2.530763725494463

Null fit parameter: [162.27108114]
Null covariance matrix: 
[[0.00890678]]
rms error in null fit: 2.5806170658662295

chi-squared test statistic: 0.0394723017193041

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2013-07-27    15041   162.49638417356707    0.30518277612550776
1 2013-08-11    15042   162.41951211273306    0.2654460457432635
2 2013-09-14    15043   161.6756699197899    0.37616880440852635
3 2013-10-04    15044   162.88311045627998    0.35018216565902943
4 2014-03-14    16211   163.07155669516604    0.4207190105207049
5 2014-04-04    16212   162.49819197929443    0.3021334048605491
6 2014-04-28    16213   161.37045221354126    0.33475512326230933
7 2014-05-20    16214   162.41469986303437    0.22126194063724275
8 2014-07-16    16215   162.79074645292013    0.3590318537097641
9 2014-10-20    16218   161.8169007022439    0.4176039878903957
10 2014-02-21    16508   162.73696714860802    0.2709227598114752
11 2015-02-13    16963   162.83998534337877    0.4003234881592895
12 2015-10-21    16964   163.01366686544773    0.39258478457328716
13 2016-02-13    18055   161.90254599427863    0.32013492835158724
14 2016-10-08    18057   162.38021767382116    0.6584782337307646
15 2016-07-12    18731   162.21769299009347    0.26868613217828613
16 2016-07-18    18732   161.91804039773112    0.2286805886482617
17 2017-07-15    19703   162.1961251482427    0.3286947612264807
18 2017-07-25    19704   161.67311091355802    0.25238438858827794
19 2017-04-06    19726   163.10405742978122    0.5107757285123813
20 2017-04-07    19727   161.64546752244252    0.6101019758564625
21 2017-04-12    20040   163.0524898754082    0.5762988230507401
22 2017-04-11    20041   162.26072298073802    0.34138964209762024
23 2018-04-25    20347   162.04154947661291    0.4736405798363832
24 2019-03-31    21455   161.65618848808822    0.34404404320183146
