Distance between T and N
------------------------------------------------

STATISTICS

Linear fit parameters: [-2.13093320e-05  2.06542711e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 1.17432114e-09 -8.62913356e-04]
 [-8.62913356e-04  6.34089585e+02]]
rms error in linear fit: 3.737827078255673

Null fit parameter: [190.88421204]
Null covariance matrix: 
[[0.0044923]]
rms error in null fit: 3.7134133393744104

chi-squared test statistic: 0.07319308911425446

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   190.36285926901158    0.7949174549939235
1 2002-04-19    2953   191.35161459511147    1.037751515235908
2 2002-05-07    2954   190.8728507559406    0.6744397050038853
3 2002-05-25    3392   191.1475160120691    0.4018388244074358
4 2002-05-28    3393   191.07330745741476    0.4005418485252948
5 2002-05-24    3663   191.5775858906801    0.6838320804403566
6 2002-06-03    3665   190.55382127950065    0.49921339712774426
7 2004-07-05    4683   191.40301467908884    0.6283166036600547
8 2004-07-06    4684   190.91003540314884    0.6438724133073018
9 2005-07-24    5950   191.11588810412852    0.6882902837255409
10 2005-07-27    5951   191.49778839269032    0.8578546377084691
11 2005-07-30    5953   190.53393841878227    0.4191767160474465
12 2005-08-01    5954   189.60196511173794    1.1963262803483687
13 2006-07-17    6363   190.7416894725262    0.968086780553114
14 2009-05-18    10556   190.91446517581187    0.4671821056176496
15 2010-05-13    11843   190.83505282621653    0.47207020300640157
16 2011-03-29    13016   189.60106667609023    0.7072946088259795
17 2013-04-06    14941   191.15368044194622    0.7019231392081594
18 2013-04-14    14942   191.19485059038726    1.0488229659326913
19 2013-07-27    15041   191.31406767174335    0.5189545877401908
20 2013-08-11    15042   191.1699651450432    0.38969766221397295
21 2013-09-14    15043   190.32787980921003    0.5347835022454202
22 2013-10-04    15044   191.0682827785325    0.5499324298430893
23 2014-03-14    16211   191.3705824180648    0.6314518931122527
24 2014-04-04    16212   190.69432701120763    0.48448216858875004
25 2014-04-28    16213   190.20849112785785    0.46469799772464543
26 2014-05-20    16214   191.02058113597874    0.35593802048176926
27 2014-07-16    16215   191.41802613996438    0.519310345836606
28 2014-10-20    16218   190.52455604829618    0.6293907906163103
29 2014-02-21    16508   191.34377455979342    0.37797927720400637
30 2015-02-13    16963   190.39664308768545    0.8572688194082497
31 2015-10-21    16964   191.14686200803365    0.5147900279466731
32 2016-02-13    18055   191.00445307405244    0.4394738133000619
33 2016-10-08    18057   191.59333420685627    0.8791793647495294
34 2016-07-12    18731   190.83797113380515    0.3221256726933827
35 2016-07-18    18732   190.64747136022396    0.2835102782419428
36 2017-07-15    19703   190.85992411970696    0.42583829928655315
37 2017-07-25    19704   190.19619230817463    0.32313140078526414
38 2017-04-06    19726   192.28363085776505    0.5938824697123545
39 2017-04-07    19727   190.22169152770348    0.6822275217814485
40 2017-04-12    20040   191.54181109816815    0.625764431749265
41 2017-04-11    20041   190.8538680870574    0.4953431564452137
42 2018-04-25    20347   190.31314068108733    0.5289308486279468
43 2019-03-29    21453   191.41693239137282    0.584406965679526
44 2019-03-30    21454   190.37691985115245    0.4940305014474759
45 2019-03-31    21455   190.8445534873565    0.579770803993922
46 2019-04-01    21456   192.00634906217323    0.8254867592966116
