Distance between T and R
------------------------------------------------

STATISTICS

Linear fit parameters: [-7.13678149e-05  2.00046487e+02]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 2.02187255e-09 -1.48486323e-03]
 [-1.48486323e-03  1.09049280e+03]]
rms error in linear fit: 4.009222903452335

Null fit parameter: [147.63396219]
Null covariance matrix: 
[[0.00960509]]
rms error in null fit: 4.091134562971726

chi-squared test statistic: 0.10888933051848239

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-22    2943   147.53120998330274    0.8269069830089335
1 2002-05-25    3392   147.91688156566318    0.34564417641562534
2 2002-05-28    3393   148.04846565701826    0.3567966535534014
3 2002-05-24    3663   147.98894196676582    0.6840373211385142
4 2002-06-03    3665   147.43946506455603    0.4999321443899286
5 2004-07-05    4683   148.09505581652863    0.47846585203588204
6 2004-07-06    4684   147.7338779492999    0.48826457695951897
7 2005-07-24    5950   148.79773608639312    0.6197704317558662
8 2005-07-27    5951   148.21568996519173    0.6826054172378809
9 2005-07-30    5953   146.82571558427554    0.47596356995324246
10 2005-08-01    5954   148.2091661957343    0.90830876601568
11 2006-07-17    6363   148.37119440466518    0.69946853771238
12 2009-05-18    10556   147.2122483015859    0.5510774716092761
13 2010-05-13    11843   146.80848379619843    0.6305492722600184
14 2011-03-29    13016   146.1024661207909    0.9374710962426123
15 2013-04-06    14941   148.71988179456562    0.8318880489621833
16 2013-07-27    15041   148.16726448768543    0.51960898882338
17 2013-08-11    15042   148.18640812816625    0.42261144920529536
18 2013-09-14    15043   145.9251824998513    0.6220731803463881
19 2013-10-04    15044   147.32717035518934    0.5597414170058692
20 2014-03-14    16211   148.00216397518892    0.6977790819942743
21 2014-04-04    16212   147.1216519002052    0.5856184796809827
22 2014-04-28    16213   146.6027391554931    0.631444438250648
23 2014-05-20    16214   147.86946270275018    0.35798342070528893
24 2014-07-16    16215   147.93646954762093    0.5048023539226555
25 2014-02-21    16508   148.13411320215732    0.389047607120921
26 2016-02-13    18055   147.4811531026421    0.48544650864485833
27 2016-07-12    18731   147.30292364781997    0.3690709414852535
28 2016-07-18    18732   147.85402618956786    0.37271734976499943
29 2017-07-15    19703   147.82983623252613    0.42312817320178
30 2017-07-25    19704   146.46717253769964    0.36031982776529087
31 2017-04-06    19726   147.79323290957913    0.7667449215823405
32 2017-04-11    20041   147.7889653413403    0.7780815153968504
33 2018-04-25    20347   147.1725491433692    0.7363116189667748
34 2019-03-29    21453   147.78406216365644    0.5266679059772795
35 2019-03-30    21454   147.4912781619271    0.6523041047251076
36 2019-03-31    21455   146.96496950386947    0.6444749735499894
37 2019-04-01    21456   148.46346095932162    0.8068881204823964
