Distance between T and S
------------------------------------------------

STATISTICS

Linear fit parameters: [-7.49727610e-05  8.32550037e+01]
Degrees of freedom: 1
Linear covariance matrix: 
[[ 3.96555562e-09 -2.91200491e-03]
 [-2.91200491e-03  2.13837857e+03]]
rms error in linear fit: 2.7458026633707706

Null fit parameter: [28.20066329]
Null covariance matrix: 
[[0.02236963]]
rms error in null fit: 2.917964326247656

chi-squared test statistic: 0.2670387177498309

------------------------------------------------

DATA
## DATE    OBSID   DISTANCE    ERROR
0 2002-05-25    3392   28.36764958255677    0.7496621146123403
1 2002-05-28    3393   28.351827014972272    0.7653208452173081
2 2002-06-03    3665   28.34119906625311    1.0003669893043448
3 2004-07-05    4683   28.391621133697797    0.7653808417308606
4 2005-07-24    5950   29.67532886574689    0.9494537594837701
5 2005-07-27    5951   27.82820280569111    0.9714130001701657
6 2005-07-30    5953   27.25181422476623    0.7859919601805118
7 2006-07-17    6363   29.573975684816368    0.9974387183590145
8 2009-05-18    10556   28.039142264936974    0.889551770917112
9 2014-04-04    16212   28.701068536130453    0.6306254150919351
10 2016-07-18    18732   27.581219019605907    0.6674753691288813
11 2017-07-15    19703   28.506589094971147    0.7545162475491889
12 2017-07-25    19704   28.0789121249534    0.5655343171647814
13 2017-04-06    19726   28.049286978460085    0.9179652400669178
14 2017-04-11    20041   28.105438826231047    1.1561231303439874
15 2018-04-25    20347   28.46370852884637    0.9403315893089808
16 2019-03-30    21454   26.712736896469444    1.0250228243279127
17 2019-03-31    21455   27.72718782067456    0.9209993562390177
